soc_code_2019,title,task_comp_nat,task_comp_ut,freq_sum_eco,importance,relevance,tot_emp_nat,tot_emp_ut,major_group_code,major_occ_category,a_med_nat,h_med_nat,a_med_ut,h_med_ut,ai_task_comp_nat,ai_task_comp_ut,freq_sum_ai,code_changed,title_changed,code_or_title_changed,code_and_title_changed,pct_automated_nat,pct_automated_ut,people_automated_nat,people_automated_ut,eco_value_nat,eco_value_ut,ut_share_of_nat,ut_concentration_index
11-1011.00,Chief Executives,3761657.2440192304,70669.79386923077,17.756229615384616,3.950967741935484,72.6974193548387,211850.0,3980.0,11,Management Occupations,206420.0,99.24,163980.0,78.84,969915.8393184615,36439.475379999996,9.312413846153847,False,False,False,False,25.784269442957868,51.56301353790356,54623.97481490624,1026.2139238297232,53223.88898415364,42281.04503256232,0.03756972914846428,2.8177850837803367
11-1011.03,Chief Sustainability Officers,1618392.793826923,30404.547176923075,7.639333461538461,3.757222222222222,96.50277777777778,211850.0,3980.0,11,Management Occupations,206420.0,99.24,163980.0,78.84,1459.0082323076922,55.16566115384616,0.8233680769230769,False,False,False,False,0.09015167627246146,0.18143885134298815,190.9863261832096,3.588036715643966,186.09109016161494,147.8307187515823,0.037810383747178336,2.8358345335360142
11-1021.00,General and Operations Managers,69870293.94412307,894913.3179076923,19.492775384615385,3.6958823529411764,69.39117647058823,3584420.0,45910.0,11,Management Occupations,102950.0,49.5,91230.0,43.86,10606566.232876923,135851.1155923077,2.9590746153846155,False,False,False,False,15.180365838104596,15.180365838104596,544128.0691741888,6969.305956273819,15628.18663032868,13849.047754102823,0.012808208859452856,0.9606345505310805
11-2011.00,Advertising and Promotions Managers,372525.7100769231,4096.017286153846,17.655246923076923,3.691904761904762,72.79380952380953,21100.0,232.0,11,Management Occupations,126960.0,61.04,108370.0,52.10000000000001,101152.3843771978,1113.0087801225698,18.42011415469146,True,True,True,True,27.153128399194454,27.172951244248374,5729.310092230029,62.99525788613113,34473.61181561728,29425.84524620703,0.011003287633558434,0.8252627971807714
11-2021.00,Marketing Managers,3934261.3544769227,67039.20849230769,10.219391538461538,3.4295,73.021,384980.0,6560.0,11,Management Occupations,161030.0,77.42,135190.0,65.0,2442183.559423077,41614.4323076923,6.343663461538461,False,False,False,False,62.07476675752712,62.07476675752711,238975.4370631279,4072.104699293779,99958.99690964592,83918.87717950092,0.01703984622577796,1.278013592676392
11-2022.00,Sales Managers,6808787.663576922,97669.57838461538,11.278242307692308,3.584705882352941,82.30588235294118,603710.0,8660.0,11,Management Occupations,138060.0,66.38,130430.0,62.71,4541013.973734615,65139.19102307691,7.5218465384615385,False,False,False,False,66.69342911112378,66.69342911112376,402634.90088676533,5775.650961023319,92076.94823081749,86988.23958963875,0.014344635669443936,1.0758688267859051
11-3012.00,Administrative Services Managers,1594059.623069231,11352.98621923077,6.272368076923077,3.655,74.9975,254140.0,1810.0,11,Management Occupations,108390.0,52.11,105800.0,50.86,71223.73492614646,748.0263519970414,0.4387251331360947,True,False,True,False,4.4680722035359635,6.588807011233423,11355.158698066298,80.87210688400094,4842.943461412631,4727.220391341049,0.010502487025886627,0.7877020131604952
11-3013.00,Facilities Managers,1464904.6937076922,16612.428307692306,10.382767692307691,3.921818181818182,82.02363636363636,141090.0,1600.0,11,Management Occupations,104690.0,50.33,94310.0,45.34,71223.73492614646,748.0263519970414,0.4387251331360947,True,True,True,True,4.862004690958992,4.5028116187605844,6859.802418474042,77.79207505534387,5090.032710964969,4585.356624043425,0.010502487025886627,0.7877020131604952
11-3021.00,Computer and Information Systems Managers,8508774.72885,106562.20498846154,13.172089615384616,3.84,89.90588235294118,645970.0,8090.0,11,Management Occupations,171200.0,82.31,162400.0,78.08,3604529.24615,45142.408473076925,5.580025769230769,False,False,False,False,42.36249473062696,42.36249473062696,273649.007211431,3427.1258237077213,72524.59097883337,68796.6914425382,0.01252380141492639,0.9393035728246437
11-3031.00,Financial Managers,15301560.974023078,162058.7496576923,18.691897307692308,3.904705882352941,57.60529411764706,818620.0,8670.0,11,Management Occupations,161700.0,77.74,137760.0,66.23,2888010.3685802887,91753.44784759617,15.60167451923077,True,True,True,True,18.87395915673677,56.61739834560113,154506.00444887855,1636.372258889078,30519.191956443356,26000.766134320573,0.03177047037151084,2.3828321243350707
11-3031.01,Treasurers and Controllers,9755610.406215385,103321.61713846153,11.917141538461538,4.113181818181818,79.08318181818181,818620.0,8670.0,11,Management Occupations,161700.0,77.74,137760.0,66.23,511655.10731230763,16259.583591153845,5.829897307692307,False,False,False,False,5.244726736794734,15.73686518026943,42934.38201274905,454.7178080801034,8480.723133397085,7225.135552608425,0.03177840572444283,2.383427287505876
11-3031.03,Investment Fund Managers,30074163.70826154,318515.3054538461,36.737636153846154,4.047,78.4505,818620.0,8670.0,11,Management Occupations,161700.0,77.74,137760.0,66.23,6532747.75565641,207564.88862307693,23.94058692307692,True,False,True,False,21.722126071495143,65.16637821448545,177821.66844647354,1883.3083303986289,35124.67785760765,29924.40087609171,0.03177298380200826,2.3830206353285033
