soc_code_2019,title,task_comp_nat,task_comp_ut,freq_sum_eco,importance,relevance,tot_emp_nat,tot_emp_ut,major_group_code,major_occ_category,a_med_nat,h_med_nat,a_med_ut,h_med_ut,ai_task_comp_nat,ai_task_comp_ut,freq_sum_ai,code_changed,title_changed,code_or_title_changed,code_and_title_changed,pct_automated_nat,pct_automated_ut,people_automated_nat,people_automated_ut,eco_value_nat,eco_value_ut,ut_share_of_nat,ut_concentration_index
11-1011.00,Chief Executives,3761657.2440192304,70669.79386923077,17.756229615384616,3.950967741935484,72.6974193548387,211850.0,3980.0,11,Management Occupations,206420.0,99.24,163980.0,78.84,577475.6178684615,21698.765251923076,6.410270384615385,False,False,False,False,15.351627764241599,30.70444112526356,32522.423418545826,610.9947850168156,6713278642.05623,100190924.84705743,0.03757520591434851,2.7737672719779716
11-1011.03,Chief Sustainability Officers,1618392.793826923,30404.547176923075,7.639333461538461,3.757222222222222,96.50277777777778,211850.0,3980.0,11,Management Occupations,206420.0,99.24,163980.0,78.84,23751.055669999998,892.22035,1.49953,False,False,False,False,1.4675705280321476,2.934496425183374,3109.0481636361046,58.40930701567948,641769721.9377648,9577958.164431121,0.03756550287265611,2.7730510023307375
11-1021.00,General and Operations Managers,69870293.94412307,894913.3179076923,19.492775384615385,3.6958823529411764,69.39117647058823,3584420.0,45910.0,11,Management Occupations,102950.0,49.5,91230.0,43.86,9424526.534984617,120711.30426153848,2.629303076923077,False,False,False,False,13.488602956961412,13.488602956961412,483488.18210991623,6192.617617540985,49775108348.21587,564952505.2482641,0.012808208859452854,0.9454902423686321
11-2011.00,Advertising and Promotions Managers,372525.7100769231,4096.017286153846,17.655246923076923,3.691904761904762,72.79380952380953,21100.0,232.0,11,Management Occupations,126960.0,61.04,108370.0,52.10000000000001,61180.20417349451,673.0732346373626,11.544665802197802,True,True,True,True,16.423082358761594,16.43238266871128,3465.270377698696,38.1015510723269,439950727.15262645,4129065.089708066,0.011001487224996259,0.8121197067379389
11-2021.00,Marketing Managers,3934261.3544769227,67039.20849230769,10.219391538461538,3.4295,73.021,384980.0,6560.0,11,Management Occupations,161030.0,77.42,135190.0,65.0,2465950.743930769,42019.421476923075,6.405399615384615,False,False,False,False,62.678874679352056,62.67887467935205,241301.13174056954,4111.734178965495,38856721244.183914,555865343.6543453,0.017039846225777963,1.2578658354750833
11-2022.00,Sales Managers,6808787.663576922,97669.57838461538,11.278242307692308,3.584705882352941,82.30588235294118,603710.0,8660.0,11,Management Occupations,138060.0,66.38,130430.0,62.71,1167287.6811615385,16744.316507692307,1.933523846153846,False,False,False,False,17.143840266981048,17.143840266981044,103499.07807579129,1484.6565671205587,14289082719.143745,193643756.04953447,0.014344635669443937,1.058907861717337
11-3012.00,Administrative Services Managers,1594059.623069231,11352.98621923077,6.272368076923077,3.655,74.9975,254140.0,1810.0,11,Management Occupations,108390.0,52.11,105800.0,50.86,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,,
11-3013.00,Facilities Managers,1464904.6937076922,16612.428307692306,10.382767692307691,3.921818181818182,82.02363636363636,141090.0,1600.0,11,Management Occupations,104690.0,50.33,94310.0,45.34,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,,
11-3021.00,Computer and Information Systems Managers,8508774.72885,106562.20498846154,13.172089615384616,3.84,89.90588235294118,645970.0,8090.0,11,Management Occupations,171200.0,82.31,162400.0,78.08,3604529.24615,45142.408473076925,5.580025769230769,False,False,False,False,42.36249473062696,42.36249473062696,273649.007211431,3427.1258237077213,46848710034.596985,556565233.770134,0.01252380141492639,0.9244955454045589
11-3031.00,Financial Managers,15301560.974023078,162058.7496576923,18.691897307692308,3.904705882352941,57.60529411764706,818620.0,8670.0,11,Management Occupations,161700.0,77.74,137760.0,66.23,3062709.75472,97316.76724,15.640753333333334,True,True,True,True,20.015668727651086,60.05030116890128,163852.2673382973,1735.3584786873491,26494911628.602673,239062984.0239692,0.03177472729501164,2.3455812550390536
