soc_code_2019,title,task_comp_nat,task_comp_ut,freq_sum_eco,importance,relevance,tot_emp_nat,tot_emp_ut,major_group_code,major_occ_category,a_med_nat,h_med_nat,a_med_ut,h_med_ut,ai_task_comp_nat,ai_task_comp_ut,freq_sum_ai,code_changed,title_changed,code_or_title_changed,code_and_title_changed,pct_automated_nat,pct_automated_ut,people_automated_nat,people_automated_ut,eco_value_nat,eco_value_ut,ut_share_of_nat,ut_concentration_index
11-1011.00,Chief Executives,3761657.2440192304,70669.79386923077,17.756229615384616,3.950967741935484,72.6974193548387,211850.0,3980.0,11,Management Occupations,206420.0,99.24,163980.0,78.84,335515.94050249754,12607.08055192765,6.410270384615385,False,False,False,False,8.919365022848485,17.83941888277773,18895.674800904515,354.9907279093697,3900445192.40271,58211379.56257844,0.037575205914348514,2.7949344668927782
11-1011.03,Chief Sustainability Officers,1618392.793826923,30404.547176923075,7.639333461538461,3.757222222222222,96.50277777777778,211850.0,3980.0,11,Management Occupations,206420.0,99.24,163980.0,78.84,12871.76065839809,483.53416198919524,1.49953,False,False,False,False,0.7953421880952001,1.5903350218489543,1684.9324254796813,31.654619086188962,347803751.26751584,5190724.437753266,0.0375655028726561,2.794212731242902
11-1021.00,General and Operations Managers,69870293.94412307,894913.3179076923,19.492775384615385,3.6958823529411764,69.39117647058823,3584420.0,45910.0,11,Management Occupations,102950.0,49.5,91230.0,43.86,5579551.0851457715,71464.05564053386,2.629303076923077,False,False,False,False,7.9855841018900975,7.9855841018900975,286236.873664969,3666.181661177744,29468086143.80856,334465752.9492456,0.012808208859452854,0.9527054750424219
11-2011.00,Advertising and Promotions Managers,372525.7100769231,4096.017286153846,17.655246923076923,3.691904761904762,72.79380952380953,21100.0,232.0,11,Management Occupations,126960.0,61.04,108370.0,52.10000000000001,36137.04563148027,397.5529677412312,11.544665802197802,True,True,True,True,9.700550768433757,9.705842040391701,2046.8162121395228,22.505277782766317,259863786.2932338,2438896.953318386,0.011001258149197139,0.8183001219065774
11-2021.00,Marketing Managers,3934261.3544769227,67039.20849230769,10.219391538461538,3.4295,73.021,384980.0,6560.0,11,Management Occupations,161030.0,77.42,135190.0,65.0,1379137.2501939917,23500.286667547884,6.405399615384615,False,False,False,False,35.05454076213384,35.054540762133826,134952.97102606285,2299.57787399598,21731476924.3269,310879932.78551656,0.01703984622577796,1.2674648712648413
11-2022.00,Sales Managers,6808787.663576922,97669.57838461538,11.278242307692308,3.584705882352941,82.30588235294118,603710.0,8660.0,11,Management Occupations,138060.0,66.38,130430.0,62.71,615305.8765336573,8826.338624143169,1.933523846153846,False,False,False,False,9.036937365886558,9.036937365886558,54556.89457159374,782.5987758857759,7532124864.554232,102074358.33878176,0.01434463566944394,1.0669886078319195
11-3012.00,Administrative Services Managers,1594059.623069231,11352.98621923077,6.272368076923077,3.655,74.9975,254140.0,1810.0,11,Management Occupations,108390.0,52.11,105800.0,50.86,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,,
11-3013.00,Facilities Managers,1464904.6937076922,16612.428307692306,10.382767692307691,3.921818181818182,82.02363636363636,141090.0,1600.0,11,Management Occupations,104690.0,50.33,94310.0,45.34,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,,
11-3021.00,Computer and Information Systems Managers,8508774.72885,106562.20498846154,13.172089615384616,3.84,89.90588235294118,645970.0,8090.0,11,Management Occupations,171200.0,82.31,162400.0,78.08,2010499.6238183945,25179.09803348578,5.580025769230769,False,False,False,False,23.62854450713755,23.628544507137548,152633.30895275643,1911.549250627428,26130822492.711903,310435598.3018943,0.01252380141492639,0.9315505631795339
11-3031.00,Financial Managers,15301560.974023078,162058.7496576923,18.691897307692308,3.904705882352941,57.60529411764706,818620.0,8670.0,11,Management Occupations,161700.0,77.74,137760.0,66.23,1802785.9667542956,57283.03246489168,15.640753333333334,True,True,True,True,11.781712792667506,35.34707788742505,96447.45726333473,1021.4744991242727,15595553839.481226,140718326.99935982,0.03177472729501165,2.3634808734084505
11-3031.01,Treasurers and Controllers,9755610.406215385,103321.61713846153,11.917141538461538,4.113181818181818,79.08318181818181,818620.0,8670.0,11,Management Occupations,161700.0,77.74,137760.0,66.23,237940.24962736125,7559.0501977468675,5.327751538461538,False,False,False,False,2.4390093466193306,7.316039379849201,19966.218313295165,211.46211035189597,3228537501.259828,29131020.32207719,0.03176869070947481,2.363031857612829
11-3031.03,Investment Fund Managers,30074163.70826154,318515.3054538461,36.737636153846154,4.047,78.4505,818620.0,8670.0,11,Management Occupations,161700.0,77.74,137760.0,66.23,3351663.60939163,106492.3535709808,21.90601,True,False,True,False,11.144661051608592,33.43398315482579,91232.42430067826,966.2421131744649,14752283009.419676,133109513.51091428,0.03177298380200826,2.3633511881926443
11-3051.00,Industrial Production Managers,3881767.2143153846,37926.64442692308,16.561853461538462,3.6976923076923076,84.13461538461539,234380.0,2290.0,11,Management Occupations,121440.0,58.39,108370.0,52.10000000000001,1933.7739144813013,75.71550174163278,0.6951884615384616,False,False,False,False,0.04981684391969277,0.1996367010203635,116.76071877897591,1.1408057257609645,14179421.688518835,123629.11650071573,0.03915426781519185,2.91238890059793
11-3051.01,Quality Control Systems Managers,6802797.196561539,66466.4458576923,29.024648846153845,3.8985185185185185,85.9774074074074,234380.0,2290.0,11,Management Occupations,121440.0,58.39,108370.0,52.1,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,,
11-3051.02,Geothermal Production Managers,5157451.309338462,50390.66259230769,22.004656153846156,3.9629411764705886,79.54529411764706,234380.0,2290.0,11,Management Occupations,121440.0,58.39,108370.0,52.1,8214.155545054946,320.77828296703296,0.9940323076923078,False,False,False,False,0.15926772842589498,0.6365827843192537,373.2917018846126,3.6472309809529952,45332544.27686736,395250.4214058761,0.03905188807389296,2.904773648446815
11-3051.03,Biofuels Production Managers,6401449.12143077,62545.091253846156,27.312266923076923,4.057142857142857,90.90785714285714,234380.0,2290.0,11,Management Occupations,121440.0,58.39,108370.0,52.1,0.0,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,,
11-3051.04,Biomass Power Plant Managers,6470586.0831,63220.59105,27.607245,3.856842105263158,82.88631578947368,234380.0,2290.0,11,Management Occupations,121440.0,58.39000000000001,108370.0,52.1,11745.445178263282,458.9859010547184,0.6918292307692308,False,False,False,False,0.1815205767672307,0.7260069756255757,425.4479278270353,4.156821207969583,51666396.355315164,450474.7143076637,0.0390777781589872,2.9066994154365053
11-3051.06,Hydroelectric Production Managers,4036669.0464615384,39440.10630769231,17.222753846153847,3.967777777777778,85.05777777777777,234380.0,2290.0,11,Management Occupations,121440.0,58.39,108370.0,52.1,6277.947600131622,245.4771524177922,1.198866923076923,False,False,False,False,0.15552297024782705,0.6224048954196528,364.51473766685706,3.561476018675239,44266669.74226312,385957.15614383563,0.039101497504159734,2.9084637175538632
11-3061.00,Purchasing Managers,1297151.7996461538,7983.4551923076915,15.966910384615383,4.051666666666667,93.56722222222223,81240.0,500.0,11,Management Occupations,139510.0,67.07,123360.0,59.31,239737.95612350525,1475.4920982490476,5.0701938461538445,False,False,False,False,18.48187360869427,18.48187360869427,15014.674119703224,92.40936804347135,2094697186.439797,11399619.641842626,0.006154603643525357,0.4577942671176215
11-3071.00,"Transportation, Storage, and Distribution Managers",5219563.607307692,63712.983,24.50499346153846,3.914615384615385,92.16576923076923,213000.0,2600.0,11,Management Occupations,102010.0,49.05,97980.0,47.11,102667.54656450538,5013.8596020065215,9.080818087912089,True,True,True,True,1.9669756762953294,7.8694472710632954,4189.658190509052,51.141367583678566,427387032.01382834,5010831.195848826,0.04883587628010907,3.632530295304833
