soc_code_2019_untrimmed,title,major_occ_category,task_comp_nat,task_comp_ut,freq_mean,tot_emp_nat,tot_emp_ut,ai_task_comp_nat,ai_task_comp_ut,pct_automated_nat,pct_automated_ut,ut_share_of_nat,ut_concentration_index
11-1011.00,Chief Executives,Management Occupations,3761657.2440192304,70669.79386923077,17.756229615384616,211850.0,3980.0,1972834.8733076921,37063.40710769231,52.445896723960175,52.445896723960175,0.018786877507670524,1.7632050525597731
11-1011.03,Chief Sustainability Officers,Management Occupations,1618392.793826923,30404.547176923075,7.639333461538461,211850.0,3980.0,174430.52709615385,3277.0049461538465,10.778009378284967,10.778009378284969,0.018786877507670524,1.7632050525597731
11-1021.00,General and Operations Managers,Management Occupations,69870293.94412307,894913.3179076923,19.492775384615385,3584420.0,45910.0,10606566.232876923,135851.1155923077,15.180365838104596,15.180365838104596,0.012808208859452856,1.2020889882316779
11-2011.00,Advertising and Promotions Managers,Management Occupations,372525.7100769231,4096.017286153846,17.655246923076923,21100.0,232.0,141296.02015384616,1553.5865723076922,37.92919960468496,37.92919960468496,0.010995260663507108,1.0319383382465739
11-2021.00,Marketing Managers,Management Occupations,3934261.3544769227,67039.20849230769,10.219391538461538,384980.0,6560.0,2442183.559423077,41614.4323076923,62.07476675752712,62.07476675752711,0.01703984622577796,1.5992409035437776
11-2022.00,Sales Managers,Management Occupations,6808787.663576922,97669.57838461538,11.278242307692308,603710.0,8660.0,4541013.973734615,65139.19102307692,66.69342911112378,66.69342911112378,0.014344635669443937,1.3462872730801574
11-3012.00,Administrative Services Managers,Management Occupations,1594059.623069231,11352.98621923077,6.272368076923077,254140.0,1810.0,336530.91730000003,2396.79295,21.11156398604698,21.11156398604698,0.0071220587077988505,0.6684266660647081
11-3013.00,Facilities Managers,Management Occupations,1464904.6937076922,16612.428307692306,10.382767692307691,141090.0,1600.0,104471.8812576923,1184.7403076923076,7.131650386979964,7.131650386979965,0.01134027925437664,1.064319372423213
11-3021.00,Computer and Information Systems Managers,Management Occupations,8508774.72885,106562.20498846154,13.172089615384616,645970.0,8090.0,3604529.24615,45142.408473076925,42.36249473062696,42.36249473062696,0.01252380141492639,1.1753964927400808
11-3031.00,Financial Managers,Management Occupations,15301560.974023078,162058.7496576923,18.691897307692308,818620.0,8670.0,10217474.235946154,108213.21446538462,66.7740647721628,66.7740647721628,0.01059099460066942,0.9939967503332644
