task,occupation,n_ratings,mean_rating,median_rating,max_rating,min_rating,p25_rating,p75_rating,task_normalized,soc_code_2010,title,title_normalized,task_type,n_responding,domain_source,n_occurrences,pct_weighted,pct_normalized,major_occ_category,broad_counts,h_med_nat_2024,a_med_nat_2024,h_med_ut_2024,a_med_ut_2024,emp_tot_nat_2024,emp_tot_ut_2024,h_med_nat_nominal_2015,a_med_nat_nominal_2015,h_med_nat_real_2015,a_med_nat_real_2015,h_med_ut_nominal_2015,a_med_ut_nominal_2015,h_med_ut_real_2015,a_med_ut_real_2015,emp_tot_nat_2015,emp_tot_ut_2015,emp_pct_nat_2024,emp_pct_ut_2024,emp_pct_nat_2015,emp_pct_ut_2015,freq_mean_2025,importance_2025,relevance_2025,imputed_rating_mean_2025,freq_mean_2015,importance_2015,relevance_2015,imputed_rating_mean_2015
Develop and document database architectures.,Database Architects,4301,2.3,2.0,5,1,2.0,3.0,develop and document database architectures,15-1199.06,Database Architects,database architects,Core,24.0,Occupational Expert,1.0,0.0651995179702847,0.0802551406494251,Computer and Mathematical Occupations,1.0,65.37,135980.0,61.43,127770.0,21590.0,630.0,40.98,85240.0,55.7328,115926.4,34.88,72540.0,47.436800000000005,98654.4,27738.0,325.0,0.0140024430014959,0.0301222101095874,0.0201150629754194,0.017256850969835,1.164305769230769,4.52,100.0,False,0.263555,3.83,100.0,False
"Provide technical support for existing reports, dashboards, or other tools.",Business Intelligence Analysts,4082,1.92,2.0,4,1,1.0,2.0,provide technical support for existing reports dashboards or other tools,15-1199.08,Business Intelligence Analysts,business intelligence analysts,Supplemental,24.0,Occupational Expert,1.0,0.00638168201993,0.0078553155611182,Computer and Mathematical Occupations,1.0,54.13,112590.0,55.97,116420.0,116720.0,4830.0,40.98,85240.0,55.7328,115926.4,34.88,72540.0,47.436800000000005,98654.4,12314.0,144.0,0.0757000994504219,0.2309369441735039,0.0089298754589124,0.0076461124297115,1.4790384615384615,3.95,95.24,False,0.1379923076923077,2.65,70.83,False
Provide technical guidance or support for the development or troubleshooting of systems.,Computer Systems Engineers/Architects,4082,1.82,2.0,4,1,1.0,2.0,provide technical guidance or support for the development or troubleshooting of systems,15-1199.02,Computer Systems Engineers/Architects,computer systems engineersarchitects,Core,23.0,Occupational Expert,1.0,0.1968748903148406,0.2423364850604994,Computer and Mathematical Occupations,1.0,52.39,108970.0,45.98,95640.0,62768.57142857143,4970.0,40.98,85240.0,55.7328,115926.4,34.88,72540.0,47.436800000000005,98654.4,20982.0,246.0,0.0407092794679898,0.2376307686423011,0.0152157419911403,0.0130621087340905,1.2126173076923077,3.64,100.0,False,1.2491607692307691,3.77,95.65,False
Answer user inquiries regarding computer software or hardware operation to resolve problems.,Computer User Support Specialists,4082,1.72,2.0,4,1,1.0,2.0,answer user inquiries regarding computer software or hardware operation to resolve problems,15-1151.00,Computer User Support Specialists,computer user support specialists,Core,139.0,Incumbent,1.0,0.0074452956899182,0.0091645348213046,Computer and Mathematical Occupations,2.0,29.01,60340.0,27.67,57560.0,697210.0,10750.0,23.38,48620.0,31.7968,66123.20000000001,20.39,42420.0,27.730400000000003,57691.2,585060.0,7760.0,0.4521835704063459,0.5139900931397862,0.424274235503601,0.4120405031566763,4.8461753846153846,3.79,99.06,False,5.102043846153847,4.47,99.6,False
Provide technical support to junior staff or clients.,Database Architects,4082,1.7,2.0,4,1,1.0,2.0,provide technical support to junior staff or clients,15-1199.06,Database Architects,database architects,Core,24.0,Occupational Expert,1.0,0.0026590341749707,0.0032730481504658,Computer and Mathematical Occupations,1.0,65.37,135980.0,61.43,127770.0,21590.0,630.0,40.98,85240.0,55.7328,115926.4,34.88,72540.0,47.436800000000005,98654.4,27738.0,325.0,0.0140024430014959,0.0301222101095874,0.0201150629754194,0.017256850969835,0.7374943356643356,4.078181818181818,99.13454545454546,True,0.8020684615384616,3.43,95.83,False
"Document design specifications, installation instructions, and other system-related information.",Computer Systems Engineers/Architects,3976,2.15,2.0,5,1,1.0,3.0,document design specifications installation instructions and other systemrelated information,15-1199.02,Computer Systems Engineers/Architects,computer systems engineersarchitects,Core,23.0,Occupational Expert,1.0,0.0096788843968937,0.011913895267696,Computer and Mathematical Occupations,1.0,52.39,108970.0,45.98,95640.0,62768.57142857143,4970.0,40.98,85240.0,55.7328,115926.4,34.88,72540.0,47.436800000000005,98654.4,20982.0,246.0,0.0407092794679898,0.2376307686423011,0.0152157419911403,0.0130621087340905,0.2996553846153846,3.73,100.0,False,0.39526,3.96,100.0,False
Document technical functions and specifications for new or proposed content management systems.,Document Management Specialists,3976,2.12,2.0,5,1,1.0,3.0,document technical functions and specifications for new or proposed content management systems,15-1199.12,Document Management Specialists,document management specialists,Core,25.0,Occupational Expert,1.0,0.0658376861722778,0.081040672205537,Computer and Mathematical Occupations,1.0,52.39,108970.0,45.98,95640.0,62768.57142857143,4970.0,40.98,85240.0,55.7328,115926.4,34.88,72540.0,47.436800000000005,98654.4,7509.0,88.0,0.0407092794679898,0.2376307686423011,0.0054453820708927,0.0046726242626014,0.8511923076923076,3.67,78.95,False,0.2698423076923077,3.45,84.0,False
Document technical specifications and operating standards for telecommunications equipment.,Telecommunications Engineering Specialists,3976,1.92,2.0,5,1,1.0,3.0,document technical specifications and operating standards for telecommunications equipment,15-1143.01,Telecommunications Engineering Specialists,telecommunications engineering specialists,Core,23.0,Occupational Expert,1.0,0.0064880433869288,0.0079862374871369,Computer and Mathematical Occupations,3.0,62.69,130390.0,62.01,128990.0,41455.0,792.0,48.19,100240.0,65.5384,136326.40000000002,43.66,90810.0,59.3776,123501.6,68665.0,384.0,0.0268861173981943,0.0378679212806242,0.0497945345449266,0.0203896331458973,0.14883,3.76,85.0,False,0.1365965384615384,3.38,91.3,False
"Prepare, review, or maintain maintenance schedules, design documentation, or operational reports or charts.","Electronics Engineers, Except Computer",3379,1.93,2.0,5,1,1.0,3.0,prepare review or maintain maintenance schedules design documentation or operational reports or charts,17-2072.00,"Electronics Engineers, Except Computer",electronics engineers except computer,Supplemental,91.0,Incumbent,1.0,0.0049989842489451,0.0061533305228759,Architecture and Engineering Occupations,2.0,61.34,127590.0,53.07,110390.0,41343.0,977.0,47.24,98270.0,64.24640000000001,133647.2,40.49,84230.0,55.06640000000001,114552.8,119169.0,1593.0,0.0268134785090712,0.0467133321858205,0.086419061926518,0.0845851187536836,0.6544780769230769,3.26,86.03,False,0.5841530769230769,3.5,61.08,False
"Prepare reports, sketches, working drawings, specifications, proposals, and budgets for proposed sites or systems.",Agricultural Engineers,3322,1.73,2.0,4,1,1.0,2.0,prepare reports sketches working drawings specifications proposals and budgets for proposed sites or systems,17-2021.00,Agricultural Engineers,agricultural engineers,Core,24.0,Occupational Expert,1.0,0.0038290092119579,0.0047131893366709,Architecture and Engineering Occupations,1.0,40.69,84630.0,40.69,84630.0,1680.0,19.0,36.1,75090.0,49.096,102122.4,25.09,52190.0,34.1224,70978.40000000001,2330.0,60.0,0.0010895833368463,0.0009084476064796,0.001689671091381,0.0031858801790464,1.6219230769230768,4.05,100.0,False,1.1628046153846152,4.04,95.83,False
