task,task_normalized,soc_code_2019_full,soc_code_2010,title_current,title,title_normalized,task_type,n_responding,domain_source,n_occurrences,pct_weighted,pct_normalized,major_occ_category,broad_counts,soc_code_2019,h_med_nat_2024,a_med_nat_2024,h_med_ut_2024,a_med_ut_2024,emp_tot_nat_2024,emp_tot_ut_2024,h_med_nat_nominal_2015,a_med_nat_nominal_2015,h_med_nat_real_2015,a_med_nat_real_2015,h_med_ut_nominal_2015,a_med_ut_nominal_2015,h_med_ut_real_2015,a_med_ut_real_2015,emp_tot_nat_2015,emp_tot_ut_2015,emp_pct_nat_2024,emp_pct_ut_2024,emp_pct_nat_2015,emp_pct_ut_2015,freq_mean_2025,importance_2025,relevance_2025,imputed_rating_mean_2025,freq_mean_2015,importance_2015,relevance_2015,imputed_rating_mean_2015,title_current_normalized,n_ratings,mean_rating,median_rating,max_rating,min_rating,p25_rating,p75_rating
"Document, design, code, or test Geographic Information Systems (GIS) models, internet mapping solutions, or other applications.",document design code or test geographic information systems gis models internet mapping solutions or other applications,15-1299.02,15-1199.04,Geographic Information Systems Technologists and Technicians,Geospatial Information Scientists and Technologists,geospatial information scientists and technologists,Core,,Analyst - Transition,1,0.013349690339535852,0.0003110546378653113,Computer and Mathematical Occupations,1,15-1299,52.39,108970.0,45.98,95640.0,73230.0,4970.0,40.98,85240.0,55.7328,115926.40000000001,34.88,72540.0,47.436800000000005,98654.40000000001,26813.0,314.0,0.04749415937932144,0.23763076864230115,0.019444270803948404,0.01667277293700984,0.44067461538461533,3.73,95.65,False,0.5958476923076923,3.54,100.0,False,geographic information systems technologists and technicians,4776,2.22,2.0,5,1,2.0,3.0
"Plan, install, repair, or troubleshoot telehealth technology applications or systems in homes.",plan install repair or troubleshoot telehealth technology applications or systems in homes,15-1211.01,15-1121.01,Health Informatics Specialists,Informatics Nurse Specialists,informatics nurse specialists,Supplemental,21.0,Occupational Expert,1,0.013349690339535852,0.0003110546378653113,Computer and Mathematical Occupations,2,15-1211,49.9,103790.0,44.87,93330.0,106406.0,1201.0,41.25,85800.0,56.1,116688.00000000001,33.95,70610.0,46.172000000000004,96029.6,237976.0,1603.0,0.06901083603599724,0.05742345133589611,0.17257560843025493,0.08511609878352475,0.15023499999999998,2.75,76.19,False,0.25663115384615387,2.54,65.0,False,health informatics specialists,4350,1.36,1.0,3,1,1.0,2.0
Develop and document database architectures.,develop and document database architectures,15-1243.00,15-1141.00,Database Architects,Database Administrators,database administrators,Core,21.0,Occupational Expert,1,0.013349690339535852,0.0003110546378653113,Computer and Mathematical Occupations,3,15-1243,59.061627906976746,122852.55813953489,55.4146511627907,115262.09302325582,49461.976744186046,701.1627906976744,39.29,81710.0,53.434400000000004,111125.6,39.67,82520.0,53.95120000000001,112227.20000000001,113770.0,900.0,0.03207913432615954,0.03352471889273024,0.08250381118730504,0.04778820268569699,1.164305769230769,4.52,100.0,False,0.263555,3.83,100.0,False,database architects,4301,2.3,2.0,5,1,2.0,3.0
Provide training or technical assistance in Web site implementation or use.,provide training or technical assistance in web site implementation or use,15-1299.01,15-1199.03,Web Administrators,Web Administrators,web administrators,Core,19.0,Occupational Expert,1,0.013349690339535852,0.0003110546378653113,Computer and Mathematical Occupations,1,15-1299,52.39,108970.0,45.98,95640.0,73230.0,4970.0,40.98,85240.0,55.7328,115926.40000000001,34.88,72540.0,47.436800000000005,98654.40000000001,29753.0,349.0,0.04749415937932144,0.23763076864230115,0.021576302138137354,0.01853120304145361,0.45435192307692307,3.63,100.0,False,0.25194846153846157,3.14,95.65,False,web administrators,4103,1.58,2.0,4,1,1.0,2.0
"Provide technical support for existing reports, dashboards, or other tools.",provide technical support for existing reports dashboards or other tools,15-2051.01,15-1199.08,Business Intelligence Analysts,Business Intelligence Analysts,business intelligence analysts,Core,21.0,Occupational Expert,1,0.013349690339535852,0.0003110546378653113,Computer and Mathematical Occupations,1,15-2051,54.13,112590.0,55.97,116420.0,77813.33333333333,4830.0,40.98,85240.0,55.7328,115926.40000000001,34.88,72540.0,47.436800000000005,98654.40000000001,13262.0,156.0,0.050466732966947966,0.2309369441735039,0.009617346787079543,0.008283288465520813,1.4790384615384615,3.95,95.24,False,0.1379923076923077,2.65,70.83,False,business intelligence analysts,4082,1.92,2.0,4,1,1.0,2.0
Provide technical guidance or support for the development or troubleshooting of systems.,provide technical guidance or support for the development or troubleshooting of systems,15-1299.08,15-1199.02,Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,computer systems engineersarchitects,Core,22.0,Occupational Expert,1,0.013349690339535852,0.0003110546378653113,Computer and Mathematical Occupations,1,15-1299,52.39,108970.0,45.98,95640.0,73230.0,4970.0,40.98,85240.0,55.7328,115926.40000000001,34.88,72540.0,47.436800000000005,98654.40000000001,22577.0,265.0,0.04749415937932144,0.23763076864230115,0.016372405248974122,0.014070970790788558,1.2126173076923075,3.64,100.0,False,1.2491607692307691,3.77,95.65,False,computer systems engineersarchitects,4082,1.82,2.0,4,1,1.0,2.0
"Inform Web site users of problems, problem resolutions, or application changes and updates.",inform web site users of problems problem resolutions or application changes and updates,15-1299.01,15-1199.03,Web Administrators,Web Administrators,web administrators,Core,20.0,Occupational Expert,1,0.013349690339535852,0.0003110546378653113,Computer and Mathematical Occupations,1,15-1299,52.39,108970.0,45.98,95640.0,73230.0,4970.0,40.98,85240.0,55.7328,115926.40000000001,34.88,72540.0,47.436800000000005,98654.40000000001,29753.0,349.0,0.04749415937932144,0.23763076864230115,0.021576302138137354,0.01853120304145361,0.7298126923076924,3.56,90.0,False,0.826791923076923,3.18,95.65,False,web administrators,4082,1.79,2.0,4,1,1.0,2.0
"Provide staff and users with assistance solving computer-related problems, such as malfunctions and program problems.",provide staff and users with assistance solving computerrelated problems such as malfunctions and program problems,15-1211.00,15-1121.00,Computer Systems Analysts,Computer Systems Analysts,computer systems analysts,Core,65.0,Incumbent,1,0.013349690339535852,0.0003110546378653113,Computer and Mathematical Occupations,2,15-1211,49.9,103790.0,44.87,93330.0,142494.0,1609.0,41.25,85800.0,56.1,116688.00000000001,33.95,70610.0,46.172000000000004,96029.6,318684.0,2147.0,0.09241612380987342,0.076931168359248,0.2311034944573712,0.11400141240687939,3.169690769230769,4.05,96.19,False,0.7749000427350428,3.5744444444444445,76.27944444444444,True,computer systems analysts,4082,1.73,2.0,4,1,1.0,2.0
Answer user inquiries regarding computer software or hardware operation to resolve problems.,answer user inquiries regarding computer software or hardware operation to resolve problems,15-1232.00,15-1151.00,Computer User Support Specialists,Computer User Support Specialists,computer user support specialists,Core,73.0,Incumbent,1,0.013349690339535852,0.0003110546378653113,Computer and Mathematical Occupations,2,15-1232,29.01,60340.0,27.67,57560.0,697210.0,10750.0,23.38,48620.0,31.7968,66123.20000000001,20.39,42420.0,27.730400000000003,57691.200000000004,585060.0,7760.0,0.4521835704063459,0.5139900931397862,0.424274235503601,0.4120405031566763,4.8461753846153846,3.79,99.06,False,5.102043846153847,4.47,99.6,False,computer user support specialists,4082,1.72,2.0,4,1,1.0,2.0
"Provide technical support to users or clients regarding the maintenance, development, or operation of Geographic Information Systems (GIS) databases, equipment, or applications.",provide technical support to users or clients regarding the maintenance development or operation of geographic information systems gis databases equipment or applications,15-1299.02,15-1199.04,Geographic Information Systems Technologists and Technicians,Geospatial Information Scientists and Technologists,geospatial information scientists and technologists,Core,,Analyst - Transition,1,0.013349690339535852,0.0003110546378653113,Computer and Mathematical Occupations,1,15-1299,52.39,108970.0,45.98,95640.0,73230.0,4970.0,40.98,85240.0,55.7328,115926.40000000001,34.88,72540.0,47.436800000000005,98654.40000000001,26813.0,314.0,0.04749415937932144,0.23763076864230115,0.019444270803948404,0.01667277293700984,0.9789692307692308,3.97,92.91,False,0.9789692307692308,3.97,92.91,False,geographic information systems technologists and technicians,4082,1.69,2.0,4,1,1.0,2.0
Consult with end users regarding problems in accessing electronic content.,consult with end users regarding problems in accessing electronic content,15-1299.03,15-1199.12,Document Management Specialists,Document Management Specialists,document management specialists,Core,20.0,Occupational Expert,1,0.013349690339535852,0.0003110546378653113,Computer and Mathematical Occupations,1,15-1299,52.39,108970.0,45.98,95640.0,73230.0,4970.0,40.98,85240.0,55.7328,115926.40000000001,34.88,72540.0,47.436800000000005,98654.40000000001,15600.0,183.0,0.04749415937932144,0.23763076864230115,0.011312819324267897,0.009716934546091722,0.5912057692307693,3.61,90.0,False,0.8184461538461538,4.04,96.0,False,document management specialists,4082,1.58,2.0,4,1,1.0,2.0
