soc_code_2019,title,task_comp_nat,task_comp_ut,freq_sum_eco,importance,relevance,tot_emp_nat,tot_emp_ut,major_group_code,major_occ_category,a_med_nat,h_med_nat,a_med_ut,h_med_ut,ai_task_comp_nat,ai_task_comp_ut,freq_sum_ai,code_changed,title_changed,code_or_title_changed,code_and_title_changed,pct_automated_nat,pct_automated_ut,people_automated_nat,people_automated_ut,eco_value_nat,eco_value_ut,ut_share_of_nat,ut_concentration_index
11-1011.00,Chief Executives,3761657.2440192304,70669.79386923077,17.756229615384616,3.950967741935484,72.6974193548387,211850.0,3980.0,11,Management Occupations,206420.0,99.24,163980.0,78.84,201330.4920430769,7564.61653076923,15.507808461538461,False,False,False,False,5.352175357368835,10.704172343797966,11338.583494585875,213.01657922327962,2340510404.9524164,34930458.66103339,0.037573128908614084,2.912508697030835
11-1011.03,Chief Sustainability Officers,1618392.793826923,30404.547176923075,7.639333461538461,3.757222222222222,96.50277777777778,211850.0,3980.0,11,Management Occupations,206420.0,99.24,163980.0,78.84,47693.90451115384,1792.1280769230766,3.695580769230769,False,False,False,False,2.946991897954188,5.894276492574421,6243.202335815948,117.29027753857669,1288721826.159128,19233259.710775804,0.037575620937135984,2.9127018684529156
11-1021.00,General and Operations Managers,69870293.94412307,894913.3179076923,19.492775384615385,3.6958823529411764,69.39117647058823,3584420.0,45910.0,11,Management Occupations,102950.0,49.5,91230.0,43.86,21697433.102315385,277905.25488846155,18.68142423076923,False,False,False,False,31.053874082263537,31.053874082263537,1113101.2733794707,14256.83359116719,114593776094.4165,1300650928.5221827,0.012808208859452854,0.9928377215343236
11-2011.00,Advertising and Promotions Managers,372525.7100769231,4096.017286153846,17.655246923076923,3.691904761904762,72.79380952380953,21100.0,232.0,11,Management Occupations,126960.0,61.04,108370.0,52.10000000000001,300048.9381764706,3299.116287058823,20.210278371040722,False,False,False,False,80.54449130893899,80.54449130893899,16994.88766618613,186.86321983673847,2157670938.098991,20250367.13370735,0.010995260663507108,0.8523057099256819
11-2021.00,Marketing Managers,3934261.3544769227,67039.20849230769,10.219391538461538,3.4295,73.021,384980.0,6560.0,11,Management Occupations,161030.0,77.42,135190.0,65.0,2876482.9030153845,49014.826338461535,8.788786153846154,False,False,False,False,73.11367100058419,73.11367100058418,281473.010618049,4796.256817638323,45325598899.82443,648405959.1765249,0.017039846225777963,1.3208562014985237
11-2022.00,Sales Managers,6808787.663576922,97669.57838461538,11.278242307692308,3.584705882352941,82.30588235294118,603710.0,8660.0,11,Management Occupations,138060.0,66.38,130430.0,62.71,1619816.855157692,23235.682638461534,9.739890769230769,False,False,False,False,23.790092086771566,23.790092086771566,143623.1649370486,2060.2219747144177,19828614151.20893,268714752.1620015,0.01434463566944394,1.1119349747158245
11-3012.00,Administrative Services Managers,1594059.623069231,11352.98621923077,6.272368076923077,3.655,74.9975,254140.0,1810.0,11,Management Occupations,108390.0,52.11,105800.0,50.86,1888236.8889353804,18510.39300989011,13.710562403846154,True,False,True,False,118.45459615241589,163.04426564471154,301040.51066174975,2144.0281903587274,32629780950.627056,226838182.53995335,0.009803003594706055,0.7598870271371037
11-3013.00,Facilities Managers,1464904.6937076922,16612.428307692306,10.382767692307691,3.921818181818182,82.02363636363636,141090.0,1600.0,11,Management Occupations,104690.0,50.33,94310.0,45.34,1888236.8889353804,18510.39300989011,13.710562403846154,True,True,True,True,128.89827557014846,111.42496850577204,181862.57700192247,2062.3724091223753,19039193186.331264,194502341.9043312,0.009803003594706055,0.7598870271371037
11-3021.00,Computer and Information Systems Managers,8508774.72885,106562.20498846154,13.172089615384616,3.84,89.90588235294118,645970.0,8090.0,11,Management Occupations,171200.0,82.31,162400.0,78.08,4453807.6203000005,55778.60217692307,11.883718846153846,False,False,False,False,52.343701205284496,52.34370120528449,338124.60667577625,4234.605427507516,57886932662.89289,687699921.4272206,0.012523801414926388,0.970791669482115
11-3031.00,Financial Managers,15301560.974023078,162058.7496576923,18.691897307692308,3.904705882352941,57.60529411764706,818620.0,8670.0,11,Management Occupations,161700.0,77.74,137760.0,66.23,1761490.188605,55962.327335384616,18.636154230769232,False,False,False,False,11.511833280247814,34.5321233525439,94238.16959876465,998.0759453974855,15238312024.120245,137494942.2379576,0.03176987740119268,2.4626653920579784
11-3031.01,Treasurers and Controllers,9755610.406215385,103321.61713846153,11.917141538461538,4.113181818181818,79.08318181818181,818620.0,8670.0,11,Management Occupations,161700.0,77.74,137760.0,66.23,734779.0240788462,23348.909734615387,9.639302307692308,False,False,False,False,7.531861087961365,22.59828134835081,61657.32123826933,653.0123563262504,9969988844.228151,89958982.20750426,0.03177677773788751,2.463200276727419
11-3031.03,Investment Fund Managers,30074163.70826154,318515.3054538461,36.737636153846154,4.047,78.4505,818620.0,8670.0,11,Management Occupations,161700.0,77.74,137760.0,66.23,6744996.820523076,214308.67472307693,30.05474576923077,True,False,True,False,22.427878247767165,67.28363474330152,183599.09691187157,1944.4970440814132,29687973970.64963,267873912.79265547,0.03177298380200826,2.46290618699986
