soc_code_2019,title,task_comp_nat,task_comp_ut,freq_sum_eco,importance,relevance,tot_emp_nat,tot_emp_ut,major_group_code,major_occ_category,a_med_nat,h_med_nat,a_med_ut,h_med_ut,ai_task_comp_nat,ai_task_comp_ut,freq_sum_ai,code_changed,title_changed,code_or_title_changed,code_and_title_changed,pct_automated_nat,pct_automated_ut,people_automated_nat,people_automated_ut,eco_value_nat,eco_value_ut,ut_share_of_nat,ut_concentration_index
11-1011.00,Chief Executives,3761657.2440192304,70669.79386923077,17.756229615384616,3.950967741935484,72.6974193548387,211850.0,3980.0,11,Management Occupations,206420.0,99.24,163980.0,78.84,399098.06020052923,14995.362863092307,15.507808461538461,False,False,False,False,10.609633847822446,21.21891411037666,22476.509306611853,422.26342714333333,4639601051.070819,69242756.7829638,0.03757312890861408,2.9720714472097263
11-1011.03,Chief Sustainability Officers,1618392.793826923,30404.547176923075,7.639333461538461,3.757222222222222,96.50277777777778,211850.0,3980.0,11,Management Occupations,206420.0,99.24,163980.0,78.84,39310.74809653845,1477.125769230769,3.695580769230769,False,False,False,False,2.4289992050435742,4.858239659467454,5145.834815884812,96.67416836073426,1062203222.694943,15852630.127793204,0.03757562093713599,2.972268569116545
11-1021.00,General and Operations Managers,69870293.94412307,894913.3179076923,19.492775384615385,3.6958823529411764,69.39117647058823,3584420.0,45910.0,11,Management Occupations,102950.0,49.5,91230.0,43.86,24253607.698015448,310645.2729914154,18.68142423076923,False,False,False,False,34.71233099063764,34.71233099063764,1244235.7344946137,15936.43115780174,128094068866.22049,1453880614.5262527,0.012808208859452854,1.0131419167582607
11-2011.00,Advertising and Promotions Managers,372525.7100769231,4096.017286153846,17.655246923076923,3.691904761904762,72.79380952380953,21100.0,232.0,11,Management Occupations,126960.0,61.04,108370.0,52.10000000000001,200465.91292589591,2204.1749667681447,20.210278371040722,False,False,False,False,53.81263829669678,53.81263829669678,11354.46668060302,124.84532084833654,1441563089.7693594,13529487.420334231,0.01099526066350711,0.8697359315514919
11-2021.00,Marketing Managers,3934261.3544769227,67039.20849230769,10.219391538461538,3.4295,73.021,384980.0,6560.0,11,Management Occupations,161030.0,77.42,135190.0,65.0,1550309.6595955384,26417.038201846153,8.788786153846154,False,False,False,False,39.40535515850748,39.40535515850748,151702.7362892221,2584.9912983980907,24428691624.65344,349464973.6304379,0.017039846225777963,1.3478685939532828
11-2022.00,Sales Managers,6808787.663576922,97669.57838461538,11.278242307692308,3.584705882352941,82.30588235294118,603710.0,8660.0,11,Management Occupations,138060.0,66.38,130430.0,62.71,1887111.8757484383,27069.932325092304,9.739890769230769,False,False,False,False,27.715827971011574,27.715827971011574,167323.22504379397,2400.190702289602,23100644449.546196,313056873.2996328,0.014344635669443937,1.1346747883966173
11-3012.00,Administrative Services Managers,1594059.623069231,11352.98621923077,6.272368076923077,3.655,74.9975,254140.0,1810.0,11,Management Occupations,108390.0,52.11,105800.0,50.86,1163161.5859495988,11402.477208287912,13.710562403846154,True,False,True,False,72.96851191237293,100.435929262147,185442.1761741046,1320.73006561395,20100077475.511196,139733240.94195592,0.009803003594706055,0.77542722490808
11-3013.00,Facilities Managers,1464904.6937076922,16612.428307692306,10.382767692307691,3.921818181818182,82.02363636363636,141090.0,1600.0,11,Management Occupations,104690.0,50.33,94310.0,45.34,1163161.5859495988,11402.477208287912,13.710562403846154,True,True,True,True,79.4018608135948,68.6382327561832,112028.0854219009,1270.4297730175167,11728220262.818806,119814231.893282,0.009803003594706055,0.77542722490808
11-3021.00,Computer and Information Systems Managers,8508774.72885,106562.20498846154,13.172089615384616,3.84,89.90588235294118,645970.0,8090.0,11,Management Occupations,171200.0,82.31,162400.0,78.08,3233996.3378259,40501.92791153077,11.883718846153846,False,False,False,False,38.0077795086131,38.0077795086131,245518.85329178802,3074.8293622468,42032827683.55411,499352288.42888033,0.012523801414926391,0.9906450082014332
11-3031.00,Financial Managers,15301560.974023078,162058.7496576923,18.691897307692308,3.904705882352941,57.60529411764706,818620.0,8670.0,11,Management Occupations,161700.0,77.74,137760.0,66.23,1183714.08721929,37606.45142902154,18.636154230769232,False,False,False,False,7.735904129185512,23.20544340151677,63327.658382338435,670.7028880003838,10240082360.424126,92396029.85093288,0.03176987740119268,2.513028545881652
11-3031.01,Treasurers and Controllers,9755610.406215385,103321.61713846153,11.917141538461538,4.113181818181818,79.08318181818181,818620.0,8670.0,11,Management Occupations,161700.0,77.74,137760.0,66.23,490655.4836400685,15591.450249506155,9.639302307692308,False,False,False,False,5.029469845653816,15.0902112077979,41172.24605049127,436.05503561818585,6657552186.364438,60070941.706761286,0.03177677773788751,2.5135743693002106
11-3031.03,Investment Fund Managers,30074163.70826154,318515.3054538461,36.737636153846154,4.047,78.4505,818620.0,8670.0,11,Management Occupations,161700.0,77.74,137760.0,66.23,4639353.983112481,147406.11895721537,30.05474576923077,True,False,True,False,15.426377365359706,46.27913209607913,126283.41038830763,1337.4669175766865,20420027459.789345,184249442.56536433,0.031772983802008256,2.5132742652410918
