O*NET-SOC Code,Title,Task ID,Task,freq_mean,freq_lower,freq_upper,importance,importance_lower,importance_upper,relevance,relevance_lower,relevance_upper,task_normalized
11-1011.00,Chief Executives,8823,"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",0.8227653846153846,0.2672237115384616,2.695224207692308,4.52,4.3146,4.735,74.44,57.6139,86.1881,"direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency."
11-1011.00,Chief Executives,8824,"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",0.7521392307692307,0.31293240384615384,2.0115060423076923,4.32,4.1057,4.5318,81.71,61.0491,92.7151,"confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems."
11-1011.00,Chief Executives,8825,"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",0.724675,0.2992383423076923,1.7968678423076923,4.13,3.8353,4.4332,98.57,92.1011,99.7562,"analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change."
11-1011.00,Chief Executives,8826,"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",1.2503930769230769,0.5562206884615384,2.6825964307692307,4.24,3.9608,4.5266,97.79,91.2414,99.4721,"direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity."
11-1011.00,Chief Executives,8827,"Prepare budgets for approval, including those for funding or implementation of programs.",0.5069796153846153,0.14768752307692307,1.7434671653846154,4.3,3.9916,4.5985,93.41,84.552,97.3448,"prepare budgets for approval, including those for funding or implementation of programs."
11-1011.00,Chief Executives,8828,"Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products.",1.815003846153846,0.7742005769230769,3.934025965384615,4.13,3.7774,4.4893,70.43,53.8141,82.9637,"direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products."
11-1011.00,Chief Executives,8829,"Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities.",0.570985,0.18827416153846152,1.8330458346153846,4.06,3.7447,4.3786,80.19,61.0428,91.268,"negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities."
11-1011.00,Chief Executives,8830,Review reports submitted by staff members to recommend approval or to suggest changes.,1.11087,0.4818373423076923,2.6914643230769233,4.07,3.8261,4.3049,96.42,86.6452,99.1118,review reports submitted by staff members to recommend approval or to suggest changes.
11-1011.00,Chief Executives,8831,Appoint department heads or managers and assign or delegate responsibilities to them.,0.4433711538461539,0.14305552307692307,1.7030726076923077,4.09,3.7906,4.3828,93.14,87.0457,96.4821,appoint department heads or managers and assign or delegate responsibilities to them.
11-1011.00,Chief Executives,8832,"Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.",0.17993346153846157,0.07812506923076923,0.37627505384615384,4.13,3.7629,4.5035,75.74,60.6384,86.3541,"direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments."
11-1011.00,Chief Executives,8833,"Preside over, or serve on, boards of directors, management committees, or other governing boards.",0.1862953846153846,0.06440270000000001,0.7048789730769232,3.79,3.434,4.139,74.11,59.0773,85.0206,"preside over, or serve on, boards of directors, management committees, or other governing boards."
11-1011.00,Chief Executives,8834,"Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.",0.5895446153846153,0.22627796153846155,1.5035096,4.17,3.7827,4.5578,92.92,81.9943,97.4244,"prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services."
11-1011.00,Chief Executives,8835,Establish departmental responsibilities and coordinate functions among departments and sites.,0.5331842307692308,0.1850536307692308,1.7484473307692308,3.98,3.7208,4.2352,87.04,64.1967,96.1796,establish departmental responsibilities and coordinate functions among departments and sites.
11-1011.00,Chief Executives,8836,Implement corrective action plans to solve organizational or departmental problems.,0.5812223076923078,0.2088014,1.6959822346153848,4.14,3.8832,4.3937,88.43,63.6669,97.0898,implement corrective action plans to solve organizational or departmental problems.
11-1011.00,Chief Executives,8837,"Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes.",0.5309265384615385,0.15907883076923077,2.1073056384615385,3.8,3.4607,4.1326,72.17,52.9831,85.6456,"coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes."
11-1011.00,Chief Executives,8838,"Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting.",0.6383223076923077,0.16090068076923078,2.733176126923077,3.78,3.3594,4.2047,56.74,40.5026,71.6403,"direct non-merchandising departments, such as advertising, purchasing, credit, or accounting."
11-1011.00,Chief Executives,8839,"Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.",0.4302734615384615,0.16707201923076923,1.2939516576923076,3.94,3.6207,4.2643,92.7,74.2136,98.2448,"deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives."
11-1011.00,Chief Executives,8840,"Serve as liaisons between organizations, shareholders, and outside organizations.",0.9418542307692307,0.33727426538461536,2.548001953846154,3.92,3.6712,4.1683,68.36,49.6542,82.5553,"serve as liaisons between organizations, shareholders, and outside organizations."
11-1011.00,Chief Executives,8842,Nominate citizens to boards or commissions.,0.5522907692307691,0.06794721923076923,3.6526189692307685,4.07,3.3099,4.8204,27.05,14.6296,44.5094,nominate citizens to boards or commissions.
11-1011.00,Chief Executives,8843,"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",0.9563846153846154,0.3880789,2.2678595384615385,4.09,3.7763,4.3945,96.73,90.6242,98.9064,"interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals."
11-1011.00,Chief Executives,8844,"Make presentations to legislative or other government committees regarding policies, programs, or budgets.",0.09438538461538462,0.028534800000000003,0.3365013461538462,3.81,3.2854,4.3422,47.82,32.8473,63.2028,"make presentations to legislative or other government committees regarding policies, programs, or budgets."
11-1011.00,Chief Executives,8845,Refer major policy matters to elected representatives for final decisions.,0.4015988461538461,0.1118258,1.6262371846153845,3.7,3.2618,4.1362,57.44,39.7899,73.377,refer major policy matters to elected representatives for final decisions.
11-1011.00,Chief Executives,8846,"Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies.",0.2769823076923077,0.08864765000000001,0.9452783884615386,3.51,3.1012,3.9253,58.06,40.4703,73.8141,"administer programs for selection of sites, construction of buildings, or provision of equipment or supplies."
11-1011.00,Chief Executives,8847,Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,0.9242665384615384,0.13365387307692306,4.869107342307692,3.9,3.4184,4.3903,27.31,14.2474,45.9243,direct or coordinate activities of businesses involved with buying or selling investment products or financial services.
11-1011.00,Chief Executives,8848,Direct or conduct studies or research on issues affecting areas of responsibility.,0.5408803846153847,0.13780413076923076,1.9429901692307694,3.66,3.2614,4.0604,58.3,40.0097,74.5535,direct or conduct studies or research on issues affecting areas of responsibility.
11-1011.00,Chief Executives,8849,Attend and participate in meetings of municipal councils or council committees.,0.175225,0.07678257307692307,0.4131165461538462,3.59,3.1786,4.0114,69.01,50.6627,82.8444,attend and participate in meetings of municipal councils or council committees.
