task,task_normalized,soc_code_2010,title,freq_mean,importance,relevance,tot_emp_nat,tot_emp_ut
"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",direct or coordinate an organizations financial or budget activities to fund operations maximize investments or increase efficiency,11-1011,Chief Executives,1.420355384615385,4.54,94.19,238940.0,3770.0
Conduct or direct investigations or hearings to resolve complaints or violations of laws or testify at such hearings.,conduct or direct investigations or hearings to resolve complaints or violations of laws or testify at such hearings,11-1011,Chief Executives,0.1868530769230769,3.75,44.53,238940.0,3770.0
Represent organizations or promote their objectives at official functions or delegate representatives to do so.,represent organizations or promote their objectives at official functions or delegate representatives to do so,11-1011,Chief Executives,0.1095211538461538,3.33,60.6,238940.0,3770.0
Prepare bylaws approved by elected officials and ensure that bylaws are enforced.,prepare bylaws approved by elected officials and ensure that bylaws are enforced,11-1011,Chief Executives,0.3480273076923076,3.63,43.12,238940.0,3770.0
"Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.",review and analyze legislation laws or public policy and recommend changes to promote or support interests of the general population or special groups,11-1011,Chief Executives,0.4449930769230769,3.64,73.15,238940.0,3770.0
"Identify educational, training, or other development opportunities for sustainability employees or volunteers.",identify educational training or other development opportunities for sustainability employees or volunteers,11-1011,Chief Sustainability Officers,0.2234003846153846,3.69,100.0,238940.0,3770.0
Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.,identify and evaluate pilot projects or programs to enhance the sustainability research agenda,11-1011,Chief Sustainability Officers,0.1298511538461538,3.42,92.31,238940.0,3770.0
Conduct sustainability- or environment-related risk assessments.,conduct sustainability or environmentrelated risk assessments,11-1011,Chief Sustainability Officers,0.091645,3.35,88.46,238940.0,3770.0
"Create and maintain sustainability program documents, such as schedules and budgets.",create and maintain sustainability program documents such as schedules and budgets,11-1011,Chief Sustainability Officers,0.3639919230769231,3.74,88.46,238940.0,3770.0
"Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives.",write project proposals grant applications or other documents to pursue funding for environmental initiatives,11-1011,Chief Sustainability Officers,0.0727207692307692,3.32,84.62,238940.0,3770.0
Supervise employees or volunteers working on sustainability projects.,supervise employees or volunteers working on sustainability projects,11-1011,Chief Sustainability Officers,1.747738846153846,4.04,100.0,238940.0,3770.0
Write and distribute financial or environmental impact reports.,write and distribute financial or environmental impact reports,11-1011,Chief Sustainability Officers,0.01648,3.15,80.77,238940.0,3770.0
Formulate or implement sustainability campaign or marketing strategies.,formulate or implement sustainability campaign or marketing strategies,11-1011,Chief Sustainability Officers,0.1293211538461538,3.54,92.31,238940.0,3770.0
"Research environmental sustainability issues, concerns, or stakeholder interests.",research environmental sustainability issues concerns or stakeholder interests,11-1011,Chief Sustainability Officers,1.021405,4.04,100.0,238940.0,3770.0
"Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives.",evaluate and approve proposals for sustainability projects considering factors such as cost effectiveness technical feasibility and integration with other initiatives,11-1011,Chief Sustainability Officers,0.6959988461538462,3.88,100.0,238940.0,3770.0
"Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.",develop sustainability reports presentations or proposals for supplier employee academia media government public interest or other groups,11-1011,Chief Sustainability Officers,0.147781923076923,3.65,100.0,238940.0,3770.0
"Develop, or oversee the development of, sustainability evaluation or monitoring systems.",develop or oversee the development of sustainability evaluation or monitoring systems,11-1011,Chief Sustainability Officers,0.2721703846153847,3.81,100.0,238940.0,3770.0
"Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.",develop or oversee the development of marketing or outreach media for sustainability projects or events,11-1011,Chief Sustainability Officers,0.2827692307692308,3.88,96.15,238940.0,3770.0
Develop methodologies to assess the viability or success of sustainability initiatives.,develop methodologies to assess the viability or success of sustainability initiatives,11-1011,Chief Sustainability Officers,0.0993846153846153,3.96,96.15,238940.0,3770.0
Monitor and evaluate effectiveness of sustainability programs.,monitor and evaluate effectiveness of sustainability programs,11-1011,Chief Sustainability Officers,0.2719061538461538,3.92,100.0,238940.0,3770.0
Direct sustainability program operations to ensure compliance with environmental or governmental regulations.,direct sustainability program operations to ensure compliance with environmental or governmental regulations,11-1011,Chief Sustainability Officers,0.3980269230769231,3.7,92.31,238940.0,3770.0
"Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.",develop or execute strategies to address issues such as energy use resource conservation recycling pollution reduction waste elimination transportation education and building design,11-1011,Chief Sustainability Officers,1.308775,4.19,100.0,238940.0,3770.0
Organize or approve promotional campaigns.,organize or approve promotional campaigns,11-1011,Chief Executives,0.164066923076923,3.11,56.16,238940.0,3770.0
