task,task_normalized,soc_code_2019,title,freq_mean,importance,relevance,soc_code_2019_untrimmed,tot_emp_nat,tot_emp_ut,major_group_code,major_occ_category
"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",direct or coordinate an organizations financial or budget activities to fund operations maximize investments or increase efficiency,11-1011,Chief Executives,0.8227653846153846,4.52,74.44,11-1011.00,211850.0,3980.0,11,Management Occupations
"Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings.",conduct or direct investigations or hearings to resolve complaints or violations of laws or testify at such hearings,11-1011,Chief Executives,0.3595311538461538,3.98,56.65,11-1011.00,211850.0,3980.0,11,Management Occupations
"Represent organizations or promote their objectives at official functions, or delegate representatives to do so.",represent organizations or promote their objectives at official functions or delegate representatives to do so,11-1011,Chief Executives,0.2217884615384615,3.42,63.86,11-1011.00,211850.0,3980.0,11,Management Occupations
"Prepare bylaws approved by elected officials, and ensure that bylaws are enforced.",prepare bylaws approved by elected officials and ensure that bylaws are enforced,11-1011,Chief Executives,0.1444488461538461,3.88,52.57,11-1011.00,211850.0,3980.0,11,Management Occupations
"Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.",review and analyze legislation laws or public policy and recommend changes to promote or support interests of the general population or special groups,11-1011,Chief Executives,0.2683673076923077,3.81,62.05,11-1011.00,211850.0,3980.0,11,Management Occupations
"Identify educational, training, or other development opportunities for sustainability employees or volunteers.",identify educational training or other development opportunities for sustainability employees or volunteers,11-1011,Chief Sustainability Officers,0.1422442307692307,3.19,100.0,11-1011.03,211850.0,3980.0,11,Management Occupations
Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.,identify and evaluate pilot projects or programs to enhance the sustainability research agenda,11-1011,Chief Sustainability Officers,0.1968792307692307,3.88,96.3,11-1011.03,211850.0,3980.0,11,Management Occupations
Conduct risk assessments related to sustainability and the environment.,conduct risk assessments related to sustainability and the environment,11-1011,Chief Sustainability Officers,0.0674034615384615,3.13,85.19,11-1011.03,211850.0,3980.0,11,Management Occupations
"Create and maintain sustainability program documents, such as schedules and budgets.",create and maintain sustainability program documents such as schedules and budgets,11-1011,Chief Sustainability Officers,0.38033,3.85,100.0,11-1011.03,211850.0,3980.0,11,Management Occupations
"Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives.",write project proposals grant applications or other documents to pursue funding for environmental initiatives,11-1011,Chief Sustainability Officers,0.0964357692307692,3.33,100.0,11-1011.03,211850.0,3980.0,11,Management Occupations
Supervise employees or volunteers working on sustainability projects.,supervise employees or volunteers working on sustainability projects,11-1011,Chief Sustainability Officers,2.92585,4.22,100.0,11-1011.03,211850.0,3980.0,11,Management Occupations
"Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws.",review sustainability program objectives progress or status to ensure compliance with policies standards regulations or laws,11-1011,Chief Sustainability Officers,0.2027692307692307,3.48,92.59,11-1011.03,211850.0,3980.0,11,Management Occupations
Formulate or implement sustainability campaign or marketing strategies.,formulate or implement sustainability campaign or marketing strategies,11-1011,Chief Sustainability Officers,0.3375715384615385,3.74,100.0,11-1011.03,211850.0,3980.0,11,Management Occupations
"Research environmental sustainability issues, concerns, or stakeholder interests.",research environmental sustainability issues concerns or stakeholder interests,11-1011,Chief Sustainability Officers,0.4857965384615385,3.74,100.0,11-1011.03,211850.0,3980.0,11,Management Occupations
"Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives.",evaluate and approve proposals for sustainability projects considering factors such as cost effectiveness technical feasibility and integration with other initiatives,11-1011,Chief Sustainability Officers,0.2049230769230769,3.52,92.59,11-1011.03,211850.0,3980.0,11,Management Occupations
"Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.",develop sustainability reports presentations or proposals for supplier employee academia media government public interest or other groups,11-1011,Chief Sustainability Officers,0.1857161538461538,4.04,100.0,11-1011.03,211850.0,3980.0,11,Management Occupations
"Develop, or oversee the development of, sustainability evaluation or monitoring systems.",develop or oversee the development of sustainability evaluation or monitoring systems,11-1011,Chief Sustainability Officers,0.4396126923076923,4.33,100.0,11-1011.03,211850.0,3980.0,11,Management Occupations
"Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.",develop or oversee the development of marketing or outreach media for sustainability projects or events,11-1011,Chief Sustainability Officers,0.39401,3.93,100.0,11-1011.03,211850.0,3980.0,11,Management Occupations
Develop methodologies to assess the viability or success of sustainability initiatives.,develop methodologies to assess the viability or success of sustainability initiatives,11-1011,Chief Sustainability Officers,0.1348934615384615,3.52,100.0,11-1011.03,211850.0,3980.0,11,Management Occupations
Monitor and evaluate effectiveness of sustainability programs.,monitor and evaluate effectiveness of sustainability programs,11-1011,Chief Sustainability Officers,0.3436573076923077,4.38,96.3,11-1011.03,211850.0,3980.0,11,Management Occupations
Direct sustainability program operations to ensure compliance with environmental or governmental regulations.,direct sustainability program operations to ensure compliance with environmental or governmental regulations,11-1011,Chief Sustainability Officers,0.2482807692307692,3.65,85.19,11-1011.03,211850.0,3980.0,11,Management Occupations
"Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.",develop or execute strategies to address issues such as energy use resource conservation recycling pollution reduction waste elimination transportation education and building design,11-1011,Chief Sustainability Officers,0.8151334615384616,4.37,100.0,11-1011.03,211850.0,3980.0,11,Management Occupations
Organize or approve promotional campaigns.,organize or approve promotional campaigns,11-1011,Chief Executives,0.2313411538461538,3.55,82.46,11-1011.00,211850.0,3980.0,11,Management Occupations
Attend and participate in meetings of municipal councils or council committees.,attend and participate in meetings of municipal councils or council committees,11-1011,Chief Executives,0.175225,3.59,69.01,11-1011.00,211850.0,3980.0,11,Management Occupations
Write and distribute financial or environmental impact reports.,write and distribute financial or environmental impact reports,11-1011,Chief Sustainability Officers,0.0378265384615384,3.33,88.89,11-1011.03,211850.0,3980.0,11,Management Occupations
Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,direct or coordinate activities of businesses involved with buying or selling investment products or financial services,11-1011,Chief Executives,0.9242665384615384,3.9,27.31,11-1011.00,211850.0,3980.0,11,Management Occupations
Direct or conduct studies or research on issues affecting areas of responsibility.,direct or conduct studies or research on issues affecting areas of responsibility,11-1011,Chief Executives,0.5408803846153847,3.66,58.3,11-1011.00,211850.0,3980.0,11,Management Occupations
"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",confer with board members organization officials or staff members to discuss issues coordinate activities or resolve problems,11-1011,Chief Executives,0.7521392307692307,4.32,81.71,11-1011.00,211850.0,3980.0,11,Management Occupations
"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction program improvement or policy change,11-1011,Chief Executives,0.724675,4.13,98.57,11-1011.00,211850.0,3980.0,11,Management Occupations
"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",direct plan or implement policies objectives or activities of organizations or businesses to ensure continuing operations to maximize returns on investments or to increase productivity,11-1011,Chief Executives,1.2503930769230769,4.24,97.79,11-1011.00,211850.0,3980.0,11,Management Occupations
"Prepare budgets for approval, including those for funding or implementation of programs.",prepare budgets for approval including those for funding or implementation of programs,11-1011,Chief Executives,0.5069796153846153,4.3,93.41,11-1011.00,211850.0,3980.0,11,Management Occupations
"Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products.",direct or coordinate activities of businesses or departments concerned with production pricing sales or distribution of products,11-1011,Chief Executives,1.815003846153846,4.13,70.43,11-1011.00,211850.0,3980.0,11,Management Occupations
"Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities.",negotiate or approve contracts or agreements with suppliers distributors federal or state agencies or other organizational entities,11-1011,Chief Executives,0.570985,4.06,80.19,11-1011.00,211850.0,3980.0,11,Management Occupations
Review reports submitted by staff members to recommend approval or to suggest changes.,review reports submitted by staff members to recommend approval or to suggest changes,11-1011,Chief Executives,1.11087,4.07,96.42,11-1011.00,211850.0,3980.0,11,Management Occupations
Appoint department heads or managers and assign or delegate responsibilities to them.,appoint department heads or managers and assign or delegate responsibilities to them,11-1011,Chief Executives,0.4433711538461539,4.09,93.14,11-1011.00,211850.0,3980.0,11,Management Occupations
"Preside over, or serve on, boards of directors, management committees, or other governing boards.",preside over or serve on boards of directors management committees or other governing boards,11-1011,Chief Executives,0.1862953846153846,3.79,74.11,11-1011.00,211850.0,3980.0,11,Management Occupations
"Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.",prepare or present reports concerning activities expenses budgets government statutes or rulings or other items affecting businesses or program services,11-1011,Chief Executives,0.5895446153846153,4.17,92.92,11-1011.00,211850.0,3980.0,11,Management Occupations
"Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.",direct human resources activities including the approval of human resource plans or activities the selection of directors or other highlevel staff or establishment or organization of major departments,11-1011,Chief Executives,0.1799334615384615,4.13,75.74,11-1011.00,211850.0,3980.0,11,Management Occupations
Establish departmental responsibilities and coordinate functions among departments and sites.,establish departmental responsibilities and coordinate functions among departments and sites,11-1011,Chief Executives,0.5331842307692308,3.98,87.04,11-1011.00,211850.0,3980.0,11,Management Occupations
"Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies.",administer programs for selection of sites construction of buildings or provision of equipment or supplies,11-1011,Chief Executives,0.2769823076923077,3.51,58.06,11-1011.00,211850.0,3980.0,11,Management Occupations
Refer major policy matters to elected representatives for final decisions.,refer major policy matters to elected representatives for final decisions,11-1011,Chief Executives,0.4015988461538461,3.7,57.44,11-1011.00,211850.0,3980.0,11,Management Occupations
"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",interpret and explain policies rules regulations or laws to organizations government or corporate officials or individuals,11-1011,Chief Executives,0.9563846153846154,4.09,96.73,11-1011.00,211850.0,3980.0,11,Management Occupations
Nominate citizens to boards or commissions.,nominate citizens to boards or commissions,11-1011,Chief Executives,0.5522907692307691,4.07,27.05,11-1011.00,211850.0,3980.0,11,Management Occupations
"Serve as liaisons between organizations, shareholders, and outside organizations.",serve as liaisons between organizations shareholders and outside organizations,11-1011,Chief Executives,0.9418542307692308,3.92,68.36,11-1011.00,211850.0,3980.0,11,Management Occupations
"Make presentations to legislative or other government committees regarding policies, programs, or budgets.",make presentations to legislative or other government committees regarding policies programs or budgets,11-1011,Chief Executives,0.0943853846153846,3.81,47.82,11-1011.00,211850.0,3980.0,11,Management Occupations
"Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting.",direct nonmerchandising departments such as advertising purchasing credit or accounting,11-1011,Chief Executives,0.6383223076923077,3.78,56.74,11-1011.00,211850.0,3980.0,11,Management Occupations
"Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes.",coordinate the development or implementation of budgetary control systems recordkeeping systems or other administrative control processes,11-1011,Chief Executives,0.5309265384615385,3.8,72.17,11-1011.00,211850.0,3980.0,11,Management Occupations
Implement corrective action plans to solve organizational or departmental problems.,implement corrective action plans to solve organizational or departmental problems,11-1011,Chief Executives,0.5812223076923078,4.14,88.43,11-1011.00,211850.0,3980.0,11,Management Occupations
"Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.",deliver speeches write articles or present information at meetings or conventions to promote services exchange ideas or accomplish objectives,11-1011,Chief Executives,0.4302734615384615,3.94,92.7,11-1011.00,211850.0,3980.0,11,Management Occupations
"Manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations.",manage the movement of goods into and out of production facilities to ensure efficiency effectiveness or sustainability of operations,11-1021,General and Operations Managers,1.6166442307692306,4.03,46.73,11-1021.00,3584420.0,45910.0,11,Management Occupations
Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.,monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits,11-1021,General and Operations Managers,0.4060765384615384,3.44,75.67,11-1021.00,3584420.0,45910.0,11,Management Occupations
"Set prices or credit terms for goods or services, based on forecasts of customer demand.",set prices or credit terms for goods or services based on forecasts of customer demand,11-1021,General and Operations Managers,1.4877734615384617,4.01,49.24,11-1021.00,3584420.0,45910.0,11,Management Occupations
"Plan or direct activities, such as sales promotions, that require coordination with other department managers.",plan or direct activities such as sales promotions that require coordination with other department managers,11-1021,General and Operations Managers,1.465323076923077,3.83,71.86,11-1021.00,3584420.0,45910.0,11,Management Occupations
