task,task_normalized,soc_code_2010,title,title_normalized,task_type,n_responding,domain_source,n_occurrences,pct_weighted,pct_normalized,major_occ_category,broad_counts,h_med_nat_2024,a_med_nat_2024,h_med_ut_2024,a_med_ut_2024,emp_tot_nat_2024,emp_tot_ut_2024,h_med_nat_nominal_2015,a_med_nat_nominal_2015,h_med_nat_real_2015,a_med_nat_real_2015,h_med_ut_nominal_2015,a_med_ut_nominal_2015,h_med_ut_real_2015,a_med_ut_real_2015,emp_tot_nat_2015,emp_tot_ut_2015,emp_pct_nat_2024,emp_pct_ut_2024,emp_pct_nat_2015,emp_pct_ut_2015,freq_mean_2025,importance_2025,relevance_2025,imputed_rating_mean_2025,freq_mean_2015,importance_2015,relevance_2015,imputed_rating_mean_2015
"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",interpret and explain policies rules regulations or laws to organizations government or corporate officials or individuals,11-1011.00,Chief Executives,chief executives,Core,87.0,Incumbent,1.0,0.040204596725558976,0.04948848803504521,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,208306.0,3913.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,234943.0,3707.0,0.1350992539078101,0.18709239390288218,0.17037613528855594,0.1968342970620875,0.9563846153846154,4.09,96.73,False,0.6570684615384615,3.69,83.82,False
"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",confer with board members organization officials or staff members to discuss issues coordinate activities or resolve problems,11-1011.00,Chief Executives,chief executives,Core,87.0,Incumbent,1.0,0.01776234828880511,0.021863961645112506,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,208306.0,3913.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,234943.0,3707.0,0.1350992539078101,0.18709239390288218,0.17037613528855594,0.1968342970620875,0.7521392307692307,4.32,81.71,False,1.3860496153846154,4.15,98.79,False
Review reports submitted by staff members to recommend approval or to suggest changes.,review reports submitted by staff members to recommend approval or to suggest changes,11-1011.00,Chief Executives,chief executives,Core,87.0,Incumbent,1.0,0.0019145046059789916,0.002356594668335477,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,208306.0,3913.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,234943.0,3707.0,0.1350992539078101,0.18709239390288218,0.17037613528855594,0.1968342970620875,1.11087,4.07,96.42,False,0.6107373076923077,3.82,98.87,False
"Serve as liaisons between organizations, shareholders, and outside organizations.",serve as liaisons between organizations shareholders and outside organizations,11-1011.00,Chief Executives,chief executives,Supplemental,87.0,Incumbent,1.0,0.0030844796429661215,0.0037967358545404513,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,208306.0,3913.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,234943.0,3707.0,0.1350992539078101,0.18709239390288218,0.17037613528855594,0.1968342970620875,0.9418542307692307,3.92,68.36,False,0.1973496153846154,3.56,56.76,False
"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",direct plan or implement policies objectives or activities of organizations or businesses to ensure continuing operations to maximize returns on investments or to increase productivity,11-1011.00,Chief Executives,chief executives,Core,87.0,Incumbent,1.0,0.004254454679953331,0.005236877040745526,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,208306.0,3913.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,234943.0,3707.0,0.1350992539078101,0.18709239390288218,0.17037613528855594,0.1968342970620875,1.2503930769230769,4.24,97.79,False,1.5504353846153847,4.39,95.84,False
"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",direct or coordinate an organizations financial or budget activities to fund operations maximize investments or increase efficiency,11-1011.00,Chief Executives,chief executives,Core,87.0,Incumbent,1.0,0.01148702763587395,0.014139568010012862,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,208306.0,3913.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,234943.0,3707.0,0.1350992539078101,0.18709239390288218,0.17037613528855594,0.1968342970620875,0.8227653846153846,4.52,74.44,False,1.4203553846153847,4.54,94.19,False
Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,direct or coordinate activities of businesses involved with buying or selling investment products or financial services,11-1011.00,Chief Executives,chief executives,Supplemental,87.0,Incumbent,1.0,0.01148702763587395,0.014139568010012862,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,208306.0,3913.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,234943.0,3707.0,0.1350992539078101,0.18709239390288218,0.17037613528855594,0.1968342970620875,0.9242665384615384,3.9,27.31,False,0.5793615384615385,3.86,40.27,False
"Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.",prepare or present reports concerning activities expenses budgets government statutes or rulings or other items affecting businesses or program services,11-1011.00,Chief Executives,chief executives,Core,86.0,Incumbent,1.0,0.0038290092119579833,0.004713189336670954,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,208306.0,3913.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,234943.0,3707.0,0.1350992539078101,0.18709239390288218,0.17037613528855594,0.1968342970620875,0.5895446153846153,4.17,92.92,False,0.24745461538461538,3.65,81.8,False
Direct or conduct studies or research on issues affecting areas of responsibility.,direct or conduct studies or research on issues affecting areas of responsibility,11-1011.00,Chief Executives,chief executives,Core,87.0,Incumbent,1.0,0.004041731945955657,0.004975033188708239,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,208306.0,3913.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,234943.0,3707.0,0.1350992539078101,0.18709239390288218,0.17037613528855594,0.1968342970620875,0.5408803846153847,3.66,58.3,False,0.2271142307692308,3.33,75.11,False
"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction program improvement or policy change,11-1011.00,Chief Executives,chief executives,Core,87.0,Incumbent,1.0,0.19687489031484062,0.2423364850604994,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,208306.0,3913.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,234943.0,3707.0,0.1350992539078101,0.18709239390288218,0.17037613528855594,0.1968342970620875,0.724675,4.13,98.57,False,1.2357769230769229,4.4,100.0,False
"Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.",review and analyze legislation laws or public policy and recommend changes to promote or support interests of the general population or special groups,11-1011.00,Chief Executives,chief executives,Core,87.0,Incumbent,1.0,0.011061582167878599,0.013615880305938287,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,208306.0,3913.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,234943.0,3707.0,0.1350992539078101,0.18709239390288218,0.17037613528855594,0.1968342970620875,0.2683673076923077,3.81,62.05,False,0.44499307692307694,3.64,73.15,False
