task,task_normalized,soc_code_2010,title,title_normalized,task_type,n_responding,domain_source,n_occurrences,pct_weighted,pct_normalized,major_occ_category,broad_counts,h_med_nat_2024,a_med_nat_2024,h_med_ut_2024,a_med_ut_2024,emp_tot_nat_2024,emp_tot_ut_2024,h_med_nat_nominal_2015,a_med_nat_nominal_2015,h_med_nat_real_2015,a_med_nat_real_2015,h_med_ut_nominal_2015,a_med_ut_nominal_2015,h_med_ut_real_2015,a_med_ut_real_2015,emp_tot_nat_2015,emp_tot_ut_2015,emp_pct_nat_2024,emp_pct_ut_2024,emp_pct_nat_2015,emp_pct_ut_2015,freq_mean_2025,importance_2025,relevance_2025,imputed_rating_mean_2025,freq_mean_2015,importance_2015,relevance_2015,imputed_rating_mean_2015,feedback_loop,directive,task_iteration,validation,learning,filtered
"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",confer with board members organization officials or staff members to discuss issues coordinate activities or resolve problems,11-1011.00,Chief Executives,chief executives,Core,87.0,Incumbent,1.0,0.0106590696570201,0.0138033586081194,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,90086.0,3385.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,203211.0,3206.0,0.0584263121923467,0.1618471130491326,0.1473647004938335,0.1702321975670495,0.7521392307692307,4.32,81.71,False,1.3860496153846154,4.15,98.79,False,0.0,0.25,0.3484848484848485,0.0,0.2651515151515151,0.1363636363636363
"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",interpret and explain policies rules regulations or laws to organizations government or corporate officials or individuals,11-1011.00,Chief Executives,chief executives,Core,87.0,Incumbent,1.0,0.0216411414248592,0.0280250008104244,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,90086.0,3385.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,203211.0,3206.0,0.0584263121923467,0.1618471130491326,0.1473647004938335,0.1702321975670495,0.9563846153846154,4.09,96.73,False,0.6570684615384615,3.69,83.82,False,0.0,0.1082089552238805,0.0559701492537313,0.0,0.7947761194029851,0.0410447761194029
"Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.",review and analyze legislation laws or public policy and recommend changes to promote or support interests of the general population or special groups,11-1011.00,Chief Executives,chief executives,Core,87.0,Incumbent,1.0,0.0071867969657181,0.0093068099706259,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,90086.0,3385.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,203211.0,3206.0,0.0584263121923467,0.1618471130491326,0.1473647004938335,0.1702321975670495,0.2683673076923077,3.81,62.05,False,0.4449930769230769,3.64,73.15,False,0.0,0.3595505617977528,0.2696629213483146,0.0,0.2584269662921348,0.1123595505617977
"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",direct or coordinate an organizations financial or budget activities to fund operations maximize investments or increase efficiency,11-1011.00,Chief Executives,chief executives,Core,87.0,Incumbent,1.0,0.0092863106860402,0.0120256533328313,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,90086.0,3385.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,203211.0,3206.0,0.0584263121923467,0.1618471130491326,0.1473647004938335,0.1702321975670495,0.8227653846153846,4.52,74.44,False,1.420355384615385,4.54,94.19,False,0.0,0.3478260869565217,0.3826086956521739,0.0,0.1913043478260869,0.0782608695652174
Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,direct or coordinate activities of businesses involved with buying or selling investment products or financial services,11-1011.00,Chief Executives,chief executives,Supplemental,87.0,Incumbent,1.0,0.0132430865435705,0.017149627361603,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,90086.0,3385.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,203211.0,3206.0,0.0584263121923467,0.1618471130491326,0.1473647004938335,0.1702321975670495,0.9242665384615384,3.9,27.31,False,0.5793615384615385,3.86,40.27,False,0.0,0.2804878048780488,0.2621951219512195,0.0,0.3597560975609756,0.0975609756097561
"Serve as liaisons between organizations, shareholders, and outside organizations.",serve as liaisons between organizations shareholders and outside organizations,11-1011.00,Chief Executives,chief executives,Supplemental,87.0,Incumbent,1.0,0.0041182769129395,0.0053331158258643,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,90086.0,3385.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,203211.0,3206.0,0.0584263121923467,0.1618471130491326,0.1473647004938335,0.1702321975670495,0.9418542307692308,3.92,68.36,False,0.1973496153846154,3.56,56.76,False,0.0,0.0,0.3529411764705882,0.0,0.3529411764705882,0.2941176470588235
"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction program improvement or policy change,11-1011.00,Chief Executives,chief executives,Core,87.0,Incumbent,1.0,0.0381949996043224,0.0494620350124282,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,90086.0,3385.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,203211.0,3206.0,0.0584263121923467,0.1618471130491326,0.1473647004938335,0.1702321975670495,0.724675,4.13,98.57,False,1.2357769230769229,4.4,100.0,False,0.0528541226215644,0.2600422832980972,0.361522198731501,0.040169133192389,0.2536997885835095,0.0317124735729386
"Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.",deliver speeches write articles or present information at meetings or conventions to promote services exchange ideas or accomplish objectives,11-1011.00,Chief Executives,chief executives,Core,87.0,Incumbent,1.0,0.0013727589709798,0.001777705275288,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,90086.0,3385.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,203211.0,3206.0,0.0584263121923467,0.1618471130491326,0.1473647004938335,0.1702321975670495,0.4302734615384615,3.94,92.7,False,0.2672623076923077,3.73,85.82,False,0.0,0.0,0.0,0.0,0.0,1.0
"Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.",prepare or present reports concerning activities expenses budgets government statutes or rulings or other items affecting businesses or program services,11-1011.00,Chief Executives,chief executives,Core,86.0,Incumbent,1.0,0.004522029551463,0.0058559703185961,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,90086.0,3385.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,203211.0,3206.0,0.0584263121923467,0.1618471130491326,0.1473647004938335,0.1702321975670495,0.5895446153846153,4.17,92.92,False,0.2474546153846153,3.65,81.8,False,0.0,0.375,0.3035714285714285,0.0,0.2678571428571428,0.0535714285714285
"Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.",develop sustainability reports presentations or proposals for supplier employee academia media government public interest or other groups,11-1011.03,Chief Sustainability Officers,chief sustainability officers,Core,26.0,Occupational Expert,1.0,0.0029877695250738,0.0038691232462152,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,15839.0,595.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,35729.0,564.0,0.0102725657573272,0.0284487539923881,0.025909982156203,0.0299472736830367,0.1857161538461538,4.04,100.0,False,0.147781923076923,3.65,100.0,False,0.0,0.4324324324324324,0.4864864864864865,0.0,0.0,0.081081081081081
