,AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
0,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,154187380,0.0,,,,,32.66,67920,0.1,14.42,17.66,23.8,37.89,60.44,29990,36730,49500,78810,125720,,
1,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,10966830,0.2,,,,,68.15,141760,0.2,27.41,38.42,58.7,82.5,#,57010,79900,122090,171610,#,,
2,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-1000,Top Executives,minor,3822780,0.3,,,,,67.24,139860,0.4,22.84,33.08,50.48,81.01,#,47510,68800,104990,168490,#,,
3,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-1010,Chief Executives,broad,211850,1.2,,,,,126.41,262930,0.9,35.44,60.61,99.24,#,#,73710,126080,206420,#,#,,
4,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,211850,1.2,,,,,126.41,262930,0.9,35.44,60.61,99.24,#,#,73710,126080,206420,#,#,,
5,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-1020,General and Operations Managers,broad,3584420,0.4,,,,,64,133120,0.4,22.8,32.29,49.5,78.91,#,47420,67160,102950,164130,#,,
6,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,3584420,0.4,,,,,64,133120,0.4,22.8,32.29,49.5,78.91,#,47420,67160,102950,164130,#,,
7,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-1030,Legislators,broad,26510,3.9,,,,,*,67390,1.6,*,*,*,*,*,20380,29120,44810,80350,137820,True,
8,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,26510,3.9,,,,,*,67390,1.6,*,*,*,*,*,20380,29120,44810,80350,137820,True,
9,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,1122770,0.5,,,,,78.72,163740,0.3,35.25,48.43,69.48,98.52,#,73320,100740,144530,204920,#,,
10,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-2010,Advertising and Promotions Managers,broad,21100,4.6,,,,,71.76,149270,2.3,30.29,41.34,61.04,85.85,#,63000,85990,126960,178570,#,,
11,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,21100,4.6,,,,,71.76,149270,2.3,30.29,41.34,61.04,85.85,#,63000,85990,126960,178570,#,,
12,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-2020,Marketing and Sales Managers,broad,988680,0.6,,,,,79.35,165050,0.3,35.13,48.65,71.57,99.24,#,73080,101200,148870,206410,#,,
13,99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,384980,0.8,,,,,82.46,171520,0.6,39.38,53.47,77.42,101.48,#,81900,111210,161030,211080,#,,
