title,gwa_llm_raw,gwa_human_raw,gwa_shared,gwa_llm_only,gwa_human_only,count_llm,count_human,count_shared,count_llm_only,count_human_only
SQL Server MCP Server,Getting Information; Processing Information; Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Getting Information; Processing Information,,3,1,1,2,0
DART-mcp-server,Getting Information; Analyzing Data or Information; Processing Information; Documenting/Recording Information,Analyzing Data or Information; Getting Information,Analyzing Data or Information; Getting Information,Documenting/Recording Information; Processing Information,,4,2,2,2,0
SumoLogic MCP Server,"Getting Information; Analyzing Data or Information; Processing Information; Monitoring Processes, Materials, or Surroundings","Analyzing Data or Information; Monitoring Processes, Materials, or Surroundings","Analyzing Data or Information; Monitoring Processes, Materials, or Surroundings",Getting Information; Processing Information,,4,2,2,2,0
Alist MCP Server,Getting Information; Processing Information,Documenting/Recording Information,,Getting Information; Processing Information,Documenting/Recording Information,2,1,0,2,1
Vapi MCP for Cursor,Communicating with People Outside the Organization; Performing for or Working Directly with the Public; Analyzing Data or Information,Communicating with People Outside the Organization; Establishing and Maintaining Interpersonal Relationships; Performing Administrative Activities; Selling or Influencing Others,Communicating with People Outside the Organization,Analyzing Data or Information; Performing for or Working Directly with the Public,Establishing and Maintaining Interpersonal Relationships; Performing Administrative Activities; Selling or Influencing Others,3,4,1,2,3
MCP Graph API Integration,Getting Information; Processing Information; Analyzing Data or Information,Performing Administrative Activities,,Analyzing Data or Information; Getting Information; Processing Information,Performing Administrative Activities,3,1,0,3,1
Filament MCP Server - Laravel Loop,Getting Information; Processing Information; Analyzing Data or Information,Getting Information,Getting Information,Analyzing Data or Information; Processing Information,,3,1,1,2,0
mxHERO Mail2Cloud MCP,Getting Information; Processing Information; Analyzing Data or Information,Getting Information,Getting Information,Analyzing Data or Information; Processing Information,,3,1,1,2,0
mcp-fastify-server,Getting Information; Processing Information; Analyzing Data or Information,Working with Computers,,Analyzing Data or Information; Getting Information; Processing Information,Working with Computers,3,1,0,3,1
Amadeus MCP Server,Getting Information,Processing Information,,Getting Information,Processing Information,1,1,0,1,1
Hubble AI for Solana,Analyzing Data or Information; Getting Information; Processing Information; Interpreting the Meaning of Information for Others,Documenting/Recording Information,,Analyzing Data or Information; Getting Information; Interpreting the Meaning of Information for Others; Processing Information,Documenting/Recording Information,4,1,0,4,1
CyberChef API MCP Server,Processing Information; Analyzing Data or Information; Getting Information,Repairing and Maintaining Mechanical Equipment,,Analyzing Data or Information; Getting Information; Processing Information,Repairing and Maintaining Mechanical Equipment,3,1,0,3,1
Self-hosted AI starter kit (by the n8n team),Getting Information; Processing Information; Analyzing Data or Information,Working with Computers,,Analyzing Data or Information; Getting Information; Processing Information,Working with Computers,3,1,0,3,1
Gitee MCP Server,Getting Information; Processing Information; Documenting/Recording Information; Making Decisions and Solving Problems,Getting Information,Getting Information,Documenting/Recording Information; Making Decisions and Solving Problems; Processing Information,,4,1,1,3,0
iRacing,Getting Information; Analyzing Data or Information; Processing Information,Getting Information,Getting Information,Analyzing Data or Information; Processing Information,,3,1,1,2,0
mentor-mcp-server,Analyzing Data or Information; Evaluating Information to Determine Compliance with Standards; Interpreting the Meaning of Information for Others; Providing Consultation and Advice to Others; Thinking Creatively,Analyzing Data or Information; Making Decisions and Solving Problems; Providing Consultation and Advice to Others,Analyzing Data or Information; Providing Consultation and Advice to Others,Evaluating Information to Determine Compliance with Standards; Interpreting the Meaning of Information for Others; Thinking Creatively,Making Decisions and Solving Problems,5,3,2,3,1
Sonar MVP Server,"Getting Information; Processing Information; Evaluating Information to Determine Compliance with Standards; Monitoring Processes, Materials, or Surroundings",Analyzing Data or Information; Providing Consultation and Advice to Others,,"Evaluating Information to Determine Compliance with Standards; Getting Information; Monitoring Processes, Materials, or Surroundings; Processing Information",Analyzing Data or Information; Providing Consultation and Advice to Others,4,2,0,4,2
mcp_py_exam,Getting Information; Processing Information; Analyzing Data or Information; Updating and Using Relevant Knowledge,Working with Computers,,Analyzing Data or Information; Getting Information; Processing Information; Updating and Using Relevant Knowledge,Working with Computers,4,1,0,4,1
mcp-server-rubygems,Getting Information; Processing Information,Getting Information,Getting Information,Processing Information,,2,1,1,1,0
MCP-testing: OpenWebUI + mcpo Integration,Getting Information; Analyzing Data or Information; Evaluating Information to Determine Compliance with Standards; Processing Information,Providing Consultation and Advice to Others,,Analyzing Data or Information; Evaluating Information to Determine Compliance with Standards; Getting Information; Processing Information,Providing Consultation and Advice to Others,4,1,0,4,1
Stability AI MCP Server,Getting Information; Processing Information; Thinking Creatively,Thinking Creatively,Thinking Creatively,Getting Information; Processing Information,,3,1,1,2,0
MCP Lab,Getting Information; Processing Information; Analyzing Data or Information,Providing Consultation and Advice to Others; Working with Computers,,Analyzing Data or Information; Getting Information; Processing Information,Providing Consultation and Advice to Others; Working with Computers,3,2,0,3,2
Python Shopify MCP Server for Claude,Getting Information; Analyzing Data or Information; Processing Information; Providing Consultation and Advice to Others,Analyzing Data or Information; Getting Information; Making Decisions and Solving Problems; Providing Consultation and Advice to Others,Analyzing Data or Information; Getting Information; Providing Consultation and Advice to Others,Processing Information,Making Decisions and Solving Problems,4,4,3,1,1
Web Content MCP,Getting Information; Processing Information,Documenting/Recording Information; Getting Information; Processing Information,Getting Information; Processing Information,,Documenting/Recording Information,2,3,2,0,1
