gwa_title,iwa_title,dwa_title,task
Analyzing Data or Information,Assess characteristics or impacts of regulations or policies.,Analyze impact of legal or regulatory changes.,"Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups."
Providing Consultation and Advice to Others,Advise others on legal or regulatory matters.,Advise others on legal or regulatory compliance matters.,"Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups."
"Guiding, Directing, and Motivating Subordinates",Manage budgets or finances.,Direct financial operations.,"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency."
"Communicating with Supervisors, Peers, or Subordinates",Communicate with others about operational plans or activities.,Confer with organizational members to accomplish work activities.,"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems."
Analyzing Data or Information,Analyze data to improve operations.,Analyze data to assess operational or project effectiveness.,"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change."
Making Decisions and Solving Problems,Implement procedures or processes.,Implement organizational process or policy changes.,"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity."
Developing Objectives and Strategies,"Develop organizational policies, systems, or processes.",Develop organizational policies or programs.,"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity."
"Guiding, Directing, and Motivating Subordinates","Direct organizational operations, activities, or procedures.","Direct organizational operations, projects, or services.","Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity."
"Guiding, Directing, and Motivating Subordinates",Manage budgets or finances.,Prepare operational budgets.,"Prepare budgets for approval, including those for funding or implementation of programs."
"Guiding, Directing, and Motivating Subordinates","Direct organizational operations, activities, or procedures.","Direct sales, marketing, or customer service activities.","Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products."
"Guiding, Directing, and Motivating Subordinates","Direct organizational operations, activities, or procedures.","Direct organizational operations, projects, or services.","Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products."
Resolving Conflicts and Negotiating with Others,Negotiate contracts or agreements.,"Negotiate contracts for transportation, distribution, or logistics services.","Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities."
Analyzing Data or Information,Analyze data to improve operations.,Analyze data to inform operational decisions or activities.,Review reports submitted by staff members to recommend approval or to suggest changes.
"Guiding, Directing, and Motivating Subordinates","Direct organizational operations, activities, or procedures.","Direct organizational operations, projects, or services.",Appoint department heads or managers and assign or delegate responsibilities to them.
"Guiding, Directing, and Motivating Subordinates",Assign work to others.,Prepare staff schedules or work assignments.,Appoint department heads or managers and assign or delegate responsibilities to them.
"Guiding, Directing, and Motivating Subordinates",Manage human resources activities.,Manage human resources activities.,"Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments."
"Guiding, Directing, and Motivating Subordinates",Serve on organizational committees.,Serve on institutional or departmental committees.,"Preside over, or serve on, boards of directors, management committees, or other governing boards."
Documenting/Recording Information,"Prepare financial documents, reports, or budgets.","Prepare financial documents, reports, or budgets.","Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services."
Documenting/Recording Information,Prepare reports of operational or procedural activities.,Prepare operational progress or status reports.,"Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services."
Developing Objectives and Strategies,"Develop organizational policies, systems, or processes.",Establish organizational guidelines or policies.,Establish departmental responsibilities and coordinate functions among departments and sites.
"Communicating with Supervisors, Peers, or Subordinates",Communicate with others about operational plans or activities.,Liaise between departments or other groups to improve function or communication.,Establish departmental responsibilities and coordinate functions among departments and sites.
Resolving Conflicts and Negotiating with Others,Resolve personnel or operational problems.,Resolve employee or contractor problems.,Implement corrective action plans to solve organizational or departmental problems.
"Guiding, Directing, and Motivating Subordinates",Manage budgets or finances.,Direct financial operations.,"Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes."
"Guiding, Directing, and Motivating Subordinates","Direct organizational operations, activities, or procedures.","Direct sales, marketing, or customer service activities.","Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting."
"Guiding, Directing, and Motivating Subordinates","Direct organizational operations, activities, or procedures.",Direct administrative or support services.,"Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting."
Communicating with People Outside the Organization,Provide information or assistance to the public.,Present information to the public.,"Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives."
"Communicating with Supervisors, Peers, or Subordinates",Communicate with others about operational plans or activities.,Liaise between departments or other groups to improve function or communication.,"Serve as liaisons between organizations, shareholders, and outside organizations."
Staffing Organizational Units,Perform recruiting or hiring activities.,"Select staff, team members, or performers.",Nominate citizens to boards or commissions.
Interpreting the Meaning of Information for Others,"Explain regulations, policies, or procedures.",Communicate organizational policies and procedures.,"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals."
"Communicating with Supervisors, Peers, or Subordinates","Coordinate activities with clients, agencies, or organizations.",Coordinate with external parties to exchange information.,"Make presentations to legislative or other government committees regarding policies, programs, or budgets."
Providing Consultation and Advice to Others,Advise others on business or operational matters.,Recommend organizational process or policy changes.,Refer major policy matters to elected representatives for final decisions.
"Guiding, Directing, and Motivating Subordinates",Direct construction or extraction activities.,Manage construction activities.,"Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies."
"Guiding, Directing, and Motivating Subordinates",Manage budgets or finances.,Direct financial operations.,Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.
Getting Information,Research historical or social issues.,Conduct research on social issues.,Direct or conduct studies or research on issues affecting areas of responsibility.
Getting Information,Research technology designs or applications.,Conduct research to gain information about products or processes.,Direct or conduct studies or research on issues affecting areas of responsibility.
"Communicating with Supervisors, Peers, or Subordinates","Coordinate activities with clients, agencies, or organizations.",Represent the organization in external relations.,Attend and participate in meetings of municipal councils or council committees.
"Guiding, Directing, and Motivating Subordinates","Coordinate group, community, or public activities.",Coordinate special events or programs.,Organize or approve promotional campaigns.
Getting Information,Investigate criminal or legal matters.,Conduct hearings to investigate legal issues.,"Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings."
Communicating with People Outside the Organization,Present information in legal proceedings.,Testify at legal or legislative proceedings.,"Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings."
"Communicating with Supervisors, Peers, or Subordinates","Coordinate activities with clients, agencies, or organizations.",Represent the organization in external relations.,"Represent organizations or promote their objectives at official functions, or delegate representatives to do so."
Selling or Influencing Others,"Promote products, services, or programs.","Promote products, services, or programs.","Represent organizations or promote their objectives at official functions, or delegate representatives to do so."
Developing Objectives and Strategies,Draft legislation or regulations.,Draft legislation or regulations.,"Prepare bylaws approved by elected officials, and ensure that bylaws are enforced."
"Judging the Qualities of Objects, Services, or People",Evaluate personnel capabilities or performance.,Evaluate capabilities or training needs.,"Identify educational, training, or other development opportunities for sustainability employees or volunteers."
Coaching and Developing Others,Provide support or encouragement to others.,Support the professional development of others.,"Identify educational, training, or other development opportunities for sustainability employees or volunteers."
"Identifying Objects, Actions, and Events",Identify business or organizational opportunities.,Identify opportunities for green initiatives.,Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.
"Judging the Qualities of Objects, Services, or People","Evaluate programs, practices, or processes.",Evaluate program effectiveness.,Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.
Analyzing Data or Information,Analyze business or financial risks.,Analyze risks related to investments in green technology.,Conduct risk assessments related to sustainability and the environment.
Analyzing Data or Information,"Evaluate designs, specifications, or other technical data.",Evaluate environmental or sustainability projects.,Conduct risk assessments related to sustainability and the environment.
Scheduling Work and Activities,Prepare schedules for services or facilities.,Schedule activities or facility use.,"Create and maintain sustainability program documents, such as schedules and budgets."
Documenting/Recording Information,Maintain operational records.,Maintain operational records for green energy processes or other environmentally-sustainable activities.,"Create and maintain sustainability program documents, such as schedules and budgets."
Documenting/Recording Information,Prepare proposals or grant applications.,Prepare proposals or grant applications to obtain project funding.,"Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives."
"Guiding, Directing, and Motivating Subordinates",Supervise personnel activities.,Supervise workers performing environmentally sustainable activities.,Supervise employees or volunteers working on sustainability projects.
