task,task_normalized,pct,occ_group_code,title,task_id,task_type,n_responding,date,domain_source,soc_group_code,soc_title,n_occurrences,n_occurrences_soc,pct_occ_weighted,pct_occ_norm,area_title,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly,freq_mean,freq_lower,freq_upper,importance,importance_lower,importance_upper,relevance,relevance_lower,relevance_upper
Direct or conduct studies or research on issues affecting areas of responsibility.,direct or conduct study or research on issue affect area of responsibility,0.0049510755560188,11-1011,Chief Executives,8848.0,Core,87.0,07/2014,Incumbent,11,Management Occupations,1.0,1.0,0.00407184011812622,0.004975033188708239,U.S.,211850.0,1.2,126.41,262930,0.9,35.44,60.61,99.24,,,73710,126080,206420,,,,,0.5408803846153847,0.13780413076923076,1.9429901692307694,3.66,3.2614,4.0604,58.3,40.0097,74.5535
"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",direct plan or implement policy objective or activity of organization or business to ensure continue operation to maximize return on investment or to increase productivity,0.0052116584800198,11-1011,Chief Executives,8826.0,Core,87.0,07/2014,Incumbent,11,Management Occupations,1.0,1.0,0.0042861474927644505,0.005236877040745526,U.S.,211850.0,1.2,126.41,262930,0.9,35.44,60.61,99.24,,,73710,126080,206420,,,,,1.2503930769230769,0.5562206884615384,2.6825964307692307,4.24,3.9608,4.5266,97.79,91.2414,99.4721
"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",interpret and explain policy rule regulation or law to organization government or corporate official or individual,0.0492501726361871,11-1011,Chief Executives,8843.0,Core,87.0,07/2014,Incumbent,11,Management Occupations,1.0,1.0,0.04050409380662404,0.04948848803504521,U.S.,211850.0,1.2,126.41,262930,0.9,35.44,60.61,99.24,,,73710,126080,206420,,,,,0.9563846153846154,0.3880789,2.2678595384615385,4.09,3.7763,4.3945,96.73,90.6242,98.9064
"Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.",deliver speech write article or present information at meeting or convention to promote service exchange idea or accomplish objective,0.0080780706440306,11-1011,Chief Executives,8839.0,Core,87.0,07/2014,Incumbent,11,Management Occupations,1.0,1.0,0.006643528613784823,0.008117159413155474,U.S.,211850.0,1.2,126.41,262930,0.9,35.44,60.61,99.24,,,73710,126080,206420,,,,,0.4302734615384615,0.16707201923076923,1.2939516576923076,3.94,3.6207,4.2643,92.7,74.2136,98.2448
"Serve as liaisons between organizations, shareholders, and outside organizations.",serve as liaison between organization shareholder and outside organization,0.0037784523980143,11-1011,Chief Executives,8840.0,Supplemental,87.0,07/2014,Incumbent,11,Management Occupations,1.0,1.0,0.0031074569322541816,0.0037967358545404513,U.S.,211850.0,1.2,126.41,262930,0.9,35.44,60.61,99.24,,,73710,126080,206420,,,,,0.9418542307692307,0.33727426538461536,2.548001953846154,3.92,3.6712,4.1683,68.36,49.6542,82.5553
"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",analyze operation to evaluate performance of a company or its staff in meeting objective or to determine area of potential cost reduction program improvement or policy change,0.2411694961629164,11-1011,Chief Executives,8825.0,Core,87.0,07/2014,Incumbent,11,Management Occupations,1.0,1.0,0.1983414752276751,0.2423364850604994,U.S.,211850.0,1.2,126.41,262930,0.9,35.44,60.61,99.24,,,73710,126080,206420,,,,,0.724675,0.2992383423076923,1.7968678423076923,4.13,3.8353,4.4332,98.57,92.1011,99.7562
"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",direct or coordinate an organization financial or budget activity to fund operation maximize investment or increase efficiency,0.0140714778960534,11-1011,Chief Executives,8823.0,Core,87.0,07/2014,Incumbent,11,Management Occupations,1.0,1.0,0.011572598230463969,0.014139568010012862,U.S.,211850.0,1.2,126.41,262930,0.9,35.44,60.61,99.24,,,73710,126080,206420,,,,,0.8227653846153846,0.2672237115384616,2.695224207692308,4.52,4.3146,4.735,74.44,57.6139,86.1881
"Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.",review and analyze legislation law or public policy and recommend change to promote or support interest of the general population or special group,0.0135503120480514,11-1011,Chief Executives,20461.0,Core,87.0,07/2014,Incumbent,11,Management Occupations,1.0,1.0,0.011143983481187506,0.013615880305938287,U.S.,211850.0,1.2,126.41,262930,0.9,35.44,60.61,99.24,,,73710,126080,206420,,,,,0.2683673076923077,0.07436459615384616,1.0937064884615384,3.81,3.4663,4.1603,62.05,42.4518,78.3781
Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,direct or coordinate activity of business involve with buy or sell investment product or financial service,0.0140714778960534,11-1011,Chief Executives,8847.0,Supplemental,87.0,07/2014,Incumbent,11,Management Occupations,1.0,1.0,0.011572598230463969,0.014139568010012862,U.S.,211850.0,1.2,126.41,262930,0.9,35.44,60.61,99.24,,,73710,126080,206420,,,,,0.9242665384615384,0.13365387307692306,4.869107342307692,3.9,3.4184,4.3903,27.31,14.2474,45.9243
"Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.",prepare or present report concern activity expense budget government statute or ruling or other item affect business or program service,0.0046904926320178,11-1011,Chief Executives,8834.0,Core,86.0,07/2014,Incumbent,11,Management Occupations,1.0,1.0,0.0038575327434879894,0.004713189336670954,U.S.,211850.0,1.2,126.41,262930,0.9,35.44,60.61,99.24,,,73710,126080,206420,,,,,0.5895446153846153,0.22627796153846155,1.5035096,4.17,3.7827,4.5578,92.92,81.9943,97.4244
"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",confer with board member organization official or staff member to discuss issue coordinate activity or resolve problem,0.0217586741540826,11-1011,Chief Executives,8824.0,Core,87.0,07/2014,Incumbent,11,Management Occupations,1.0,1.0,0.017894665782291527,0.021863961645112506,U.S.,211850.0,1.2,126.41,262930,0.9,35.44,60.61,99.24,,,73710,126080,206420,,,,,0.7521392307692307,0.31293240384615384,2.0115060423076923,4.32,4.1057,4.5318,81.71,61.0491,92.7151
Review reports submitted by staff members to recommend approval or to suggest changes.,Review report submit by staff member to recommend approval or to suggest change,0.0023452463160089,11-1011,Chief Executives,8830.0,Core,87.0,07/2014,Incumbent,11,Management Occupations,1.0,1.0,0.0019287663717439947,0.002356594668335477,U.S.,211850.0,1.2,126.41,262930,0.9,35.44,60.61,99.24,,,73710,126080,206420,,,,,1.11087,0.4818373423076923,2.6914643230769233,4.07,3.8261,4.3049,96.42,86.6452,99.1118
