task_name,pct,O*NET-SOC Code,Title,Task ID,Task,Task Type,Incumbents Responding,Date,Domain Source,soc_major_group,SOC or O*NET-SOC 2019 Title,task_normalized,n_occurrences,n_occurrences_soc,pct_occ_weighted,pct_occ_norm
act as advisers to student organizations.,0.0067751560240257,25-1021.00,"Computer Science Teachers, Postsecondary",5700.0,Act as advisers to student organizations.,Supplemental,58.0,07/2011,Incumbent,25,Educational Instruction and Library Occupations,act as advisers to student organizations.,34.0,1.0,0.0447585191816075,0.0016167524748516757
act as advisers to student organizations.,0.0067751560240257,25-1022.00,"Mathematical Science Teachers, Postsecondary",5726.0,Act as advisers to student organizations.,Supplemental,107.0,07/2011,Incumbent,25,Educational Instruction and Library Occupations,act as advisers to student organizations.,34.0,1.0,0.0447585191816075,0.0016167524748516757
act as advisers to student organizations.,0.0067751560240257,25-1031.00,"Architecture Teachers, Postsecondary",5751.0,Act as advisers to student organizations.,Supplemental,72.0,07/2011,Incumbent,25,Educational Instruction and Library Occupations,act as advisers to student organizations.,34.0,1.0,0.0447585191816075,0.0016167524748516757
act as advisers to student organizations.,0.0067751560240257,25-1032.00,"Engineering Teachers, Postsecondary",5774.0,Act as advisers to student organizations.,Supplemental,70.0,07/2011,Incumbent,25,Educational Instruction and Library Occupations,act as advisers to student organizations.,34.0,1.0,0.0447585191816075,0.0016167524748516757
act as advisers to student organizations.,0.0067751560240257,25-1041.00,"Agricultural Sciences Teachers, Postsecondary",5793.0,Act as advisers to student organizations.,Supplemental,90.0,07/2011,Incumbent,25,Educational Instruction and Library Occupations,act as advisers to student organizations.,34.0,1.0,0.0447585191816075,0.0016167524748516757
act as advisers to student organizations.,0.0067751560240257,25-1042.00,"Biological Science Teachers, Postsecondary",5818.0,Act as advisers to student organizations.,Supplemental,118.0,07/2011,Incumbent,25,Educational Instruction and Library Occupations,act as advisers to student organizations.,34.0,1.0,0.0447585191816075,0.0016167524748516757
act as advisers to student organizations.,0.0067751560240257,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",5843.0,Act as advisers to student organizations.,Supplemental,111.0,07/2011,Incumbent,25,Educational Instruction and Library Occupations,act as advisers to student organizations.,34.0,1.0,0.0447585191816075,0.0016167524748516757
act as advisers to student organizations.,0.0067751560240257,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",5866.0,Act as advisers to student organizations.,Supplemental,63.0,07/2011,Incumbent,25,Educational Instruction and Library Occupations,act as advisers to student organizations.,34.0,1.0,0.0447585191816075,0.0016167524748516757
act as advisers to student organizations.,0.0067751560240257,25-1053.00,"Environmental Science Teachers, Postsecondary",5914.0,Act as advisers to student organizations.,Supplemental,92.0,07/2011,Incumbent,25,Educational Instruction and Library Occupations,act as advisers to student organizations.,34.0,1.0,0.0447585191816075,0.0016167524748516757
act as advisers to student organizations.,0.0067751560240257,25-1063.00,"Economics Teachers, Postsecondary",6005.0,Act as advisers to student organizations.,Supplemental,103.0,07/2011,Incumbent,25,Educational Instruction and Library Occupations,act as advisers to student organizations.,34.0,1.0,0.0447585191816075,0.0016167524748516757
act as advisers to student organizations.,0.0067751560240257,25-1064.00,"Geography Teachers, Postsecondary",6029.0,Act as advisers to student organizations.,Supplemental,56.0,07/2011,Incumbent,25,Educational Instruction and Library Occupations,act as advisers to student organizations.,34.0,1.0,0.0447585191816075,0.0016167524748516757
act as advisers to student organizations.,0.0067751560240257,25-1065.00,"Political Science Teachers, Postsecondary",6049.0,Act as advisers to student organizations.,Supplemental,62.0,07/2011,Incumbent,25,Educational Instruction and Library Occupations,act as advisers to student organizations.,34.0,1.0,0.0447585191816075,0.0016167524748516757
act as advisers to student organizations.,0.0067751560240257,25-1066.00,"Psychology Teachers, Postsecondary",6072.0,Act as advisers to student organizations.,Supplemental,84.0,07/2011,Incumbent,25,Educational Instruction and Library Occupations,act as advisers to student organizations.,34.0,1.0,0.0447585191816075,0.0016167524748516757
act as advisers to student organizations.,0.0067751560240257,25-1067.00,"Sociology Teachers, Postsecondary",6095.0,Act as advisers to student organizations.,Supplemental,76.0,07/2011,Incumbent,25,Educational Instruction and Library Occupations,act as advisers to student organizations.,34.0,1.0,0.0447585191816075,0.0016167524748516757
act as advisers to student organizations.,0.0067751560240257,25-1072.00,"Nursing Instructors and Teachers, Postsecondary",6144.0,Act as advisers to student organizations.,Supplemental,67.0,07/2011,Incumbent,25,Educational Instruction and Library Occupations,act as advisers to student organizations.,34.0,1.0,0.0447585191816075,0.0016167524748516757
act as advisers to student organizations.,0.0067751560240257,25-1081.00,"Education Teachers, Postsecondary",6169.0,Act as advisers to student organizations.,Supplemental,93.0,07/2011,Incumbent,25,Educational Instruction and Library Occupations,act as advisers to student organizations.,34.0,1.0,0.0447585191816075,0.0016167524748516757
act as advisers to student organizations.,0.0067751560240257,25-1082.00,"Library Science Teachers, Postsecondary",6191.0,Act as advisers to student organizations.,Supplemental,99.0,07/2011,Incumbent,25,Educational Instruction and Library Occupations,act as advisers to student organizations.,34.0,1.0,0.0447585191816075,0.0016167524748516757
act as advisers to student organizations.,0.0067751560240257,25-1112.00,"Law Teachers, Postsecondary",6234.0,Act as advisers to student organizations.,Supplemental,60.0,07/2011,Incumbent,25,Educational Instruction and Library Occupations,act as advisers to student organizations.,34.0,1.0,0.0447585191816075,0.0016167524748516757
