O*NET-SOC Code,Title,Task ID,Task,freq_mean,freq_lower,freq_upper,importance,importance_lower,importance_upper,relevance,relevance_lower,relevance_upper
11-1011.00,Chief Executives,8823,"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",0.6123153846153846,0.2007735230769231,1.9682218076923077,4.52,4.3146,4.735,74.44,57.6139,86.1881
11-1011.00,Chief Executives,8824,"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",0.56121,0.23345811153846152,1.5139533423076923,4.32,4.1057,4.5318,81.71,61.0491,92.7151
11-1011.00,Chief Executives,8825,"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",0.5462130769230769,0.22916490769230768,1.33688395,4.13,3.8353,4.4332,98.57,92.1011,99.7562
11-1011.00,Chief Executives,8826,"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",0.9245188461538462,0.4227842692307692,1.9429723692307692,4.24,3.9608,4.5266,97.79,91.2414,99.4721
11-1011.00,Chief Executives,8827,"Prepare budgets for approval, including those for funding or implementation of programs.",0.32554153846153844,0.09024121923076922,1.1622313653846152,4.3,3.9916,4.5985,93.41,84.552,97.3448
11-1011.00,Chief Executives,8828,"Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products.",1.3906142307692306,0.6082198192307693,2.9502324153846153,4.13,3.7774,4.4893,70.43,53.8141,82.9637
11-1011.00,Chief Executives,8829,"Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities.",0.38990153846153847,0.11861409230769232,1.3156465,4.06,3.7447,4.3786,80.19,61.0428,91.268
11-1011.00,Chief Executives,8830,Review reports submitted by staff members to recommend approval or to suggest changes.,0.9027992307692307,0.4037472076923077,2.090463669230769,4.07,3.8261,4.3049,96.42,86.6452,99.1118
11-1011.00,Chief Executives,8831,Appoint department heads or managers and assign or delegate responsibilities to them.,0.28926307692307696,0.08884071153846154,1.174203153846154,4.09,3.7906,4.3828,93.14,87.0457,96.4821
11-1011.00,Chief Executives,8832,"Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.",0.10785769230769232,0.04569328461538462,0.23619410769230767,4.13,3.7629,4.5035,75.74,60.6384,86.3541
11-1011.00,Chief Executives,8833,"Preside over, or serve on, boards of directors, management committees, or other governing boards.",0.10240615384615384,0.027865684615384616,0.45895014230769227,3.79,3.434,4.139,74.11,59.0773,85.0206
11-1011.00,Chief Executives,8834,"Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.",0.4382992307692307,0.1567685576923077,1.1729665038461539,4.17,3.7827,4.5578,92.92,81.9943,97.4244
11-1011.00,Chief Executives,8835,Establish departmental responsibilities and coordinate functions among departments and sites.,0.39527653846153843,0.1326104576923077,1.313565773076923,3.98,3.7208,4.2352,87.04,64.1967,96.1796
11-1011.00,Chief Executives,8836,Implement corrective action plans to solve organizational or departmental problems.,0.39357692307692316,0.13677374615384616,1.1976033576923077,4.14,3.8832,4.3937,88.43,63.6669,97.0898
11-1011.00,Chief Executives,8837,"Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes.",0.4141957692307693,0.12618527307692307,1.5791912423076924,3.8,3.4607,4.1326,72.17,52.9831,85.6456
11-1011.00,Chief Executives,8838,"Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting.",0.4397057692307692,0.11317133461538462,1.8798269076923075,3.78,3.3594,4.2047,56.74,40.5026,71.6403
11-1011.00,Chief Executives,8839,"Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.",0.2993684615384615,0.10112034615384616,1.0010186961538463,3.94,3.6207,4.2643,92.7,74.2136,98.2448
11-1011.00,Chief Executives,8840,"Serve as liaisons between organizations, shareholders, and outside organizations.",0.7624842307692308,0.2764199692307692,2.0115107615384615,3.92,3.6712,4.1683,68.36,49.6542,82.5553
11-1011.00,Chief Executives,8842,Nominate citizens to boards or commissions.,0.38611153846153845,0.04766559230769231,2.5367838384615387,4.07,3.3099,4.8204,27.05,14.6296,44.5094
11-1011.00,Chief Executives,8843,"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",0.686295,0.27437077692307693,1.655734576923077,4.09,3.7763,4.3945,96.73,90.6242,98.9064
11-1011.00,Chief Executives,8844,"Make presentations to legislative or other government committees regarding policies, programs, or budgets.",0.04439192307692308,0.010588515384615384,0.21578648846153847,3.81,3.2854,4.3422,47.82,32.8473,63.2028
11-1011.00,Chief Executives,8845,Refer major policy matters to elected representatives for final decisions.,0.34558038461538465,0.0953048576923077,1.3760167461538462,3.7,3.2618,4.1362,57.44,39.7899,73.377
11-1011.00,Chief Executives,8846,"Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies.",0.21585192307692305,0.06212846923076923,0.8181952846153846,3.51,3.1012,3.9253,58.06,40.4703,73.8141
11-1011.00,Chief Executives,8847,Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,0.620045,0.09274820384615384,3.2601886346153846,3.9,3.4184,4.3903,27.31,14.2474,45.9243
11-1011.00,Chief Executives,8848,Direct or conduct studies or research on issues affecting areas of responsibility.,0.3701403846153846,0.09095403461538461,1.3439339384615385,3.66,3.2614,4.0604,58.3,40.0097,74.5535
11-1011.00,Chief Executives,8849,Attend and participate in meetings of municipal councils or council committees.,0.09363961538461538,0.03443461538461538,0.25493832692307694,3.59,3.1786,4.0114,69.01,50.6627,82.8444
11-1011.00,Chief Executives,8850,Organize or approve promotional campaigns.,0.1492207692307692,0.04778743846153846,0.6008303615384616,3.55,3.2887,3.8199,82.46,70.4702,90.2538
11-1011.00,Chief Executives,8851,"Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings.",0.23537576923076922,0.04429401538461539,1.3104917192307692,3.98,3.6622,4.2882,56.65,39.5829,72.2747
11-1011.00,Chief Executives,8852,"Represent organizations or promote their objectives at official functions, or delegate representatives to do so.",0.16251346153846152,0.05029262307692309,0.6194362692307692,3.42,2.9353,3.9089,63.86,47.4304,77.5842
11-1011.00,Chief Executives,8853,"Prepare bylaws approved by elected officials, and ensure that bylaws are enforced.",0.0708423076923077,0.01897962307692308,0.26448580769230773,3.88,3.379,4.3755,52.57,35.5606,69.0103
11-1011.00,Chief Executives,20461,"Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.",0.17622384615384618,0.04527863846153846,0.7425328730769232,3.81,3.4663,4.1603,62.05,42.4518,78.3781
11-1011.03,Chief Sustainability Officers,15367,"Identify educational, training, or other development opportunities for sustainability employees or volunteers.",0.0681873076923077,0.0,0.0,3.19,,,100.0,,
11-1011.03,Chief Sustainability Officers,15368,Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.,0.1178796153846154,0.0,0.0,3.88,,,96.3,,
11-1011.03,Chief Sustainability Officers,15369,Conduct risk assessments related to sustainability and the environment.,0.02291423076923077,0.0,0.0,3.13,,,85.19,,
11-1011.03,Chief Sustainability Officers,15370,"Create and maintain sustainability program documents, such as schedules and budgets.",0.22919538461538463,0.0,0.0,3.85,,,100.0,,
11-1011.03,Chief Sustainability Officers,15371,"Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives.",0.03546846153846154,0.0,0.0,3.33,,,100.0,,
11-1011.03,Chief Sustainability Officers,15372,Supervise employees or volunteers working on sustainability projects.,2.4592199999999997,0.0,0.0,4.22,,,100.0,,
11-1011.03,Chief Sustainability Officers,15373,Write and distribute financial or environmental impact reports.,0.012821923076923078,0.0,0.0,3.33,,,88.89,,
11-1011.03,Chief Sustainability Officers,15374,"Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws.",0.12153846153846155,0.0,0.0,3.48,,,92.59,,
11-1011.03,Chief Sustainability Officers,15375,Formulate or implement sustainability campaign or marketing strategies.,0.2837361538461539,0.0,0.0,3.74,,,100.0,,
11-1011.03,Chief Sustainability Officers,15376,"Research environmental sustainability issues, concerns, or stakeholder interests.",0.40616,0.0,0.0,3.74,,,100.0,,
11-1011.03,Chief Sustainability Officers,15377,"Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives.",0.07076923076923078,0.0,0.0,3.52,,,92.59,,
11-1011.03,Chief Sustainability Officers,15378,"Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.",0.0842923076923077,0.0,0.0,4.04,,,100.0,,
11-1011.03,Chief Sustainability Officers,15379,"Develop, or oversee the development of, sustainability evaluation or monitoring systems.",0.3027223076923077,0.0,0.0,4.33,,,100.0,,
11-1011.03,Chief Sustainability Officers,15380,"Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.",0.2770753846153846,0.0,0.0,3.93,,,100.0,,
11-1011.03,Chief Sustainability Officers,15381,Develop methodologies to assess the viability or success of sustainability initiatives.,0.04401461538461539,0.0,0.0,3.52,,,100.0,,
11-1011.03,Chief Sustainability Officers,15382,Monitor and evaluate effectiveness of sustainability programs.,0.2201296153846154,0.0,0.0,4.38,,,96.3,,
11-1011.03,Chief Sustainability Officers,15383,Direct sustainability program operations to ensure compliance with environmental or governmental regulations.,0.17169846153846152,0.0,0.0,3.65,,,85.19,,
11-1011.03,Chief Sustainability Officers,15384,"Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.",0.69589,0.0,0.0,4.37,,,100.0,,
11-1021.00,General and Operations Managers,933,"Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.",1.9434092307692308,0.8302252461538461,4.046503038461538,4.14,3.8946,4.3789,79.9,63.1402,90.2203
11-1021.00,General and Operations Managers,944,"Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory.",2.0963015384615384,0.6800936000000001,5.193793715384615,3.87,3.3602,4.3784,59.07,42.4007,73.8926
11-1021.00,General and Operations Managers,945,"Develop or implement product-marketing strategies, including advertising campaigns or sales promotions.",0.315935,0.06863188461538462,1.3547684423076922,3.57,3.0941,4.0377,51.98,32.4315,70.9436
11-1021.00,General and Operations Managers,947,"Direct non-merchandising departments of businesses, such as advertising or purchasing.",0.6589561538461539,0.17102321153846156,2.7474532115384616,3.53,3.0371,4.0227,51.13,32.1716,69.7622
11-1021.00,General and Operations Managers,948,"Recommend locations for new facilities, or oversee the remodeling or renovating of current facilities.",0.26493307692307694,0.032903446153846154,1.916642203846154,2.79,2.3965,3.1919,49.78,30.7506,68.8707
11-1021.00,General and Operations Managers,949,Plan store layouts or design displays.,0.22107461538461537,0.05839360769230769,0.8147634038461538,2.92,2.5382,3.3112,51.62,32.6373,70.1441
11-1021.00,General and Operations Managers,19501,"Implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management.",0.27427076923076926,0.06275244615384615,1.0874350346153847,3.1,2.6298,3.5732,56.52,38.6345,72.8527
11-1021.00,General and Operations Managers,20699,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",0.5941538461538461,0.29829684615384616,1.2310220538461538,4.18,3.8551,4.5023,97.14,83.7197,99.5562
