O*NET-SOC Code,Title,Task ID,Task,Task Type,Incumbents Responding,Date,Domain Source,soc_major_group,SOC or O*NET-SOC 2019 Title,task_normalized,n_occurrences,n_occurrences_soc
11-3021.00,Computer and Information Systems Managers,976,"Develop and interpret organizational goals, policies, and procedures.",Core,120.0,06/2008,Incumbent,11,Management Occupations,"develop and interpret organizational goals, policies, and procedures.",2,2
11-3051.04,Biomass Power Plant Managers,15464,Manage parts and supply inventories for biomass plants.,Core,137.0,07/2012,Incumbent,11,Management Occupations,manage parts and supply inventories for biomass plants.,2,2
11-3071.03,Logistics Managers,19990,"Review global, national, or regional transportation or logistics reports for ways to improve efficiency or minimize the environmental impact of logistics activities.",Core,23.0,07/2011,Occupational Expert,11,Management Occupations,"review global, national, or regional transportation or logistics reports for ways to improve efficiency or minimize the environmental impact of logistics activities.",2,2
11-9061.00,Funeral Service Managers,18832,"Consult with families or friends of the deceased to arrange funeral details, such as obituary notice wording, casket selection, or plans for services.",Core,56.0,07/2014,Incumbent,11,Management Occupations,"consult with families or friends of the deceased to arrange funeral details, such as obituary notice wording, casket selection, or plans for services.",2,2
11-9071.00,Gaming Managers,7199,"Review operational expenses, budget estimates, betting accounts, or collection reports for accuracy.",Core,91.0,07/2014,Incumbent,11,Management Occupations,"review operational expenses, budget estimates, betting accounts, or collection reports for accuracy.",2,2
13-1081.01,Logistics Engineers,20004,"Review global, national, or regional transportation or logistics reports for ways to improve efficiency or minimize the environmental impact of logistics activities.",Supplemental,22.0,07/2011,Occupational Expert,13,Business and Financial Operations Occupations,"review global, national, or regional transportation or logistics reports for ways to improve efficiency or minimize the environmental impact of logistics activities.",2,2
15-1111.00,Computer and Information Research Scientists,14630,"Develop and interpret organizational goals, policies, and procedures.",Core,109.0,06/2008,Incumbent,15,Computer and Mathematical Occupations,"develop and interpret organizational goals, policies, and procedures.",2,2
15-1132.00,"Software Developers, Applications",3442,"Store, retrieve, and manipulate data for analysis of system capabilities and requirements.",Core,85.0,06/2009,Incumbent,15,Computer and Mathematical Occupations,"store, retrieve, and manipulate data for analysis of system capabilities and requirements.",3,2
15-1132.00,"Software Developers, Applications",3444,"Recommend purchase of equipment to control dust, temperature, and humidity in area of system installation.",Supplemental,85.0,06/2009,Incumbent,15,Computer and Mathematical Occupations,"recommend purchase of equipment to control dust, temperature, and humidity in area of system installation.",2,2
15-1133.00,"Software Developers, Systems Software",3455,"Store, retrieve, and manipulate data for analysis of system capabilities and requirements.",Core,115.0,07/2013,Incumbent,15,Computer and Mathematical Occupations,"store, retrieve, and manipulate data for analysis of system capabilities and requirements.",3,2
17-2061.00,Computer Hardware Engineers,7401,"Store, retrieve, and manipulate data for analysis of system capabilities and requirements.",Core,22.0,07/2013,Occupational Expert,17,Architecture and Engineering Occupations,"store, retrieve, and manipulate data for analysis of system capabilities and requirements.",3,2
17-2061.00,Computer Hardware Engineers,7408,"Recommend purchase of equipment to control dust, temperature, and humidity in area of system installation.",Supplemental,22.0,07/2013,Occupational Expert,17,Architecture and Engineering Occupations,"recommend purchase of equipment to control dust, temperature, and humidity in area of system installation.",2,2
17-2131.00,Materials Engineers,9020,Teach in colleges and universities.,Core,39.0,07/2012,Occupational Expert,17,Architecture and Engineering Occupations,teach in colleges and universities.,2,2
17-2199.07,Photonics Engineers,18205,"Read current literature, talk with colleagues, continue education, or participate in professional organizations or conferences to keep abreast of developments in the field.",Core,24.0,06/2009,Occupational Expert,17,Architecture and Engineering Occupations,"read current literature, talk with colleagues, continue education, or participate in professional organizations or conferences to keep abreast of developments in the field.",2,2
19-2032.00,Materials Scientists,9099,Teach in colleges and universities.,Core,48.0,07/2012,Occupational Expert,19,"Life, Physical, and Social Science Occupations",teach in colleges and universities.,2,2
21-1012.00,"Educational, Guidance, School, and Vocational Counselors",5606,"Maintain accurate and complete student records as required by laws, district policies, and administrative regulations.",Core,122.0,06/2010,Incumbent,21,Community and Social Service Occupations,"maintain accurate and complete student records as required by laws, district policies, and administrative regulations.",5,2
